##;ENG;FRA;ITA;SPA;GER;POL;POR;RUS;;;X
PROV590;비쳅스크 ;;;;;;;;;;X
PROV591;오르샤 ;;;;;;;;;;X
PROV592;바리사프 ;;;;;;;;;;X
PROV593;폴로츠크 ;;;;;;;;;;X
PROV594;바브루이스크 ;;;;;;;;;;X
PROV595;마지르 ;;;;;;;;;;X
PROV596;슬루츠크 ;;;;;;;;;;X
PROV597;루반 ;;;;;;;;;;X
PROV598;레치차 ;;;;;;;;;;X
PROV599;민스크 ;;;;;;;;;;X
PROV600;마힐료프 ;;;;;;;;;;X
PROV601;고멜 ;;;;;;;;;;X
PROV602;젤레즈노고르스크 ;;;;;;;;;;X
PROV603;벨고로트 ;;;;;;;;;;X
PROV604;쿠르스크 ;;;;;;;;;;X
PROV605;코노톱 ;;;;;;;;;;X
PROV606;수미 ;;;;;;;;;;X
PROV607;체르니히우 ;;;;;;;;;;X
PROV608;네진 ;;;;;;;;;;X
PROV609;코로스텐 ;;;;;;;;;;X
PROV610;크레멘추크 ;;;;;;;;;;X
PROV611;지토미르 ;;;;;;;;;;X
PROV612;빈니차 ;;;;;;;;;;X
PROV613;체르카시 ;;;;;;;;;;X
PROV614;프로스쿠리우 ;;;;;;;;;;X
PROV615;우만 ;;;;;;;;;;X
PROV616;노보고라드-볼린시키 ;;;;;;;;;;X
PROV617;키예프 ;;;;;;;;;;X
PROV618;카미야네치-포딜시키 ;;;;;;;;;;X
PROV619;모힐리우-포딜시키 ;;;;;;;;;;X
PROV620;발타 ;;;;;;;;;;X
PROV621;티라스폴 ;;;;;;;;;;X
PROV622;미콜라이우 ;;;;;;;;;;X
PROV623;멜리토폴 ;;;;;;;;;;X
PROV624;헤르손 ;;;;;;;;;;X
PROV625;오차키우 ;;;;;;;;;;X
PROV626;오데사 ;;;;;;;;;;X
PROV627;크리비 리흐 ;;;;;;;;;;X
PROV628;키로보그라드 ;;;;;;;;;;X
PROV629;폴타바 ;;;;;;;;;;X
PROV630;자포로제 ;;;;;;;;;;X
PROV631;마리우폴 ;;;;;;;;;;X
PROV632;드니프로페트로우시크 ;;;;;;;;;;X
PROV633;쿠퍈시크 ;;;;;;;;;;X
PROV634;보로실로브그라드 ;;;;;;;;;;X
PROV635;바흐무트 ;;;;;;;;;;X
PROV636;하르키우 ;;;;;;;;;;X
PROV637;예우파토리아 ;;;;;;;;;;X
PROV638;심페로폴 ;;;;;;;;;;X
PROV639;장코이 ;;;;;;;;;;X
PROV640;케르치 ;;;;;;;;;;X
PROV641;세바스토폴 ;;;;;;;;;;X
PROV642;수로비키노 ;;;;;;;;;;X
PROV643;모로조프스크 ;;;;;;;;;;X
PROV644;로스토프-나-도누 ;;;;;;;;;;X
PROV645;콘스탄티노프스크 ;;;;;;;;;;X
PROV646;오스트로고시스크 ;;;;;;;;;;X
PROV647;스타리 오스콜 ;;;;;;;;;;X
PROV648;로스소시 ;;;;;;;;;;X
PROV649;카멘스크-샤흐틴스키 ;;;;;;;;;;X
PROV650;탐보프 ;;;;;;;;;;X
PROV651;보리소글렙스크 ;;;;;;;;;;X
PROV652;리페츠크 ;;;;;;;;;;X
PROV653;파블로프스크 ;;;;;;;;;;X
PROV654;보로네시 ;;;;;;;;;;X
PROV655;우류핀스크 ;;;;;;;;;;X
PROV656;울리야놉스크 ;;;;;;;;;;X
PROV657;발라쇼프 ;;;;;;;;;;X
PROV658;펜자 ;;;;;;;;;;X
PROV659;칼라치-나-도누 ;;;;;;;;;;X
PROV660;볼시스키 ;;;;;;;;;;X
PROV661;카미신 ;;;;;;;;;;X
PROV662;코텔니코보 ;;;;;;;;;;X
PROV663;스탈린그라드 ;;;;;;;;;;X
PROV664;나바레주녜 첼니 ;;;;;;;;;;X
PROV665;볼스크 ;;;;;;;;;;X
PROV666;발라코보 ;;;;;;;;;;X
PROV667;톨리야티 ;;;;;;;;;;X
PROV668;쿠이비셰프 ;;;;;;;;;;X
PROV669;사라토프 ;;;;;;;;;;X
PROV670;사란스크 ;;;;;;;;;;X
PROV671;이젭스크 ;;;;;;;;;;X
PROV672;카잔 ;;;;;;;;;;X
PROV673;요시카르-올라 ;;;;;;;;;;X
PROV674;젤레노돌스크 ;;;;;;;;;;X
PROV675;체복사리 ;;;;;;;;;;X
PROV676;리빈스크 ;;;;;;;;;;X
PROV677;야로슬라블 ;;;;;;;;;;X
PROV678;블라디미르 ;;;;;;;;;;X
PROV679;무롬 ;;;;;;;;;;X
PROV680;고르키 ;;;;;;;;;;X
PROV681;코스트로마 ;;;;;;;;;;X
PROV682;이바노보 ;;;;;;;;;;X
PROV683;아르자마스 ;;;;;;;;;;X
PROV684;키로프 ;;;;;;;;;;X
PROV685;식팁카르 ;;;;;;;;;;X
PROV686;쿠딤카르 ;;;;;;;;;;X
PROV687;페름 ;;;;;;;;;;X
PROV688;우흐타 ;;;;;;;;;;X
PROV689;솔리캄스크 ;;;;;;;;;;X
PROV690;스테를리타마크 ;;;;;;;;;;X
PROV691;크라스노다르 ;;;;;;;;;;X
PROV692;살스크 ;;;;;;;;;;X
PROV693;마이코프 ;;;;;;;;;;X
PROV694;노보로시스크 ;;;;;;;;;;X
PROV695;소치 ;;;;;;;;;;X
PROV696;체르케스크 ;;;;;;;;;;X
PROV697;볼고돈스크 ;;;;;;;;;;X
PROV698;보로실로프스크 ;;;;;;;;;;X
PROV699;옐리스타 ;;;;;;;;;;X
PROV700;하사뷰르트 ;;;;;;;;;;X
PROV701;날치크 ;;;;;;;;;;X
PROV702;그로즈니 ;;;;;;;;;;X
PROV703;블라디캅카스 ;;;;;;;;;;X
PROV704;마하치칼라 ;;;;;;;;;;X
PROV705;나즈란 ;;;;;;;;;;X
PROV706;아스트라한 ;;;;;;;;;;X
PROV707;츠힌발리 ;;;;;;;;;;X
PROV708;쿠타이시 ;;;;;;;;;;X
PROV709;트빌리시 ;;;;;;;;;;X
PROV710;수후미 ;;;;;;;;;;X
PROV711;예레반 ;;;;;;;;;;X
PROV712;스테파나케르트 ;;;;;;;;;;X
PROV713;바쿠 ;;;;;;;;;;X
PROV714;나히체반 ;;;;;;;;;;X
PROV715;탕헤르 ;;;;;;;;;;X
PROV716;나도르 ;;;;;;;;;;X
PROV717;라바트 ;;;;;;;;;;X
PROV718;카사블랑카 ;;;;;;;;;;X
PROV719;티즈니트 ;;;;;;;;;;X
PROV720;아가디르 ;;;;;;;;;;X
PROV721;페스 ;;;;;;;;;;X
PROV722;마라케시 ;;;;;;;;;;X
PROV723;케니프라 ;;;;;;;;;;X
PROV724;우지다 ;;;;;;;;;;X
PROV725;와르자자트 ;;;;;;;;;;X
PROV726;에르 라시디아 ;;;;;;;;;;X
PROV727;알제 ;;;;;;;;;;X
PROV728;오랑 ;;;;;;;;;;X
PROV729;틀렘센 ;;;;;;;;;;X
PROV730;오를레앙빌 ;;;;;;;;;;X
PROV731;바트나 ;;;;;;;;;;X
PROV732;젤파 ;;;;;;;;;;X
PROV733;게리빌 ;;;;;;;;;;X
PROV734;콩스탕틴 ;;;;;;;;;;X
PROV735;보나 ;;;;;;;;;;X
PROV736;베자이아 ;;;;;;;;;;X
PROV737;투구르트 ;;;;;;;;;;X
PROV738;타만라세트 ;;;;;;;;;;X
PROV739;클롱 베샤르 ;;;;;;;;;;X
PROV740;카세린 ;;;;;;;;;;X
PROV741;타타윈 ;;;;;;;;;;X
PROV742;메드닌 ;;;;;;;;;;X
PROV743;테베사 ;;;;;;;;;;X
PROV744;가베스 ;;;;;;;;;;X
PROV745;수스 ;;;;;;;;;;X
PROV746;엘 케프 ;;;;;;;;;;X
PROV747;튀니스 ;;;;;;;;;;X
PROV748;비제르트 ;;;;;;;;;;X
PROV749;베자 ;;;;;;;;;;X
PROV750;트리폴리 ;;;;;;;;;;X
PROV751;가리안 ;;;;;;;;;;X
PROV752;아즈 자위야 ;;;;;;;;;;X
PROV753;가다메스 ;;;;;;;;;;X
PROV754;마라다 ;;;;;;;;;;X
PROV755;훈 ;;;;;;;;;;X
PROV756;시르테 ;;;;;;;;;;X
PROV757;미스라타 ;;;;;;;;;;X
PROV758;부 누야임 ;;;;;;;;;;X
PROV759;엘 아게일라 ;;;;;;;;;;X
PROV760;마수스 ;;;;;;;;;;X
PROV761;벵가지 ;;;;;;;;;;X
PROV762;아게다비아 ;;;;;;;;;;X
PROV763;카미니스 ;;;;;;;;;;X
PROV764;알 베이다 ;;;;;;;;;;X
PROV765;투브루크 ;;;;;;;;;;X
PROV766;엘 무카레이라 ;;;;;;;;;;X
PROV767;가잘라 ;;;;;;;;;;X
PROV768;다르나 ;;;;;;;;;;X
PROV769;비르 하케임 ;;;;;;;;;;X
PROV770;알 자그붑 ;;;;;;;;;;X
PROV771;바르디아 ;;;;;;;;;;X
PROV772;비르 엘 구비 ;;;;;;;;;;X
PROV773;잘루 ;;;;;;;;;;X
PROV774;알 자우프 ;;;;;;;;;;X
PROV775;와디 알 하밈 ;;;;;;;;;;X
PROV776;사바 ;;;;;;;;;;X
PROV777;아인 아트 탈랍 ;;;;;;;;;;X
PROV778;비르 푸아드 ;;;;;;;;;;X
PROV779;시와 ;;;;;;;;;;X
PROV780;시디 바라니 ;;;;;;;;;;X
PROV781;아스 솔룸 ;;;;;;;;;;X
PROV782;비르 바이리 ;;;;;;;;;;X
PROV783;엘 알라메인 ;;;;;;;;;;X
PROV784;푸카 ;;;;;;;;;;X
PROV785;마트루 ;;;;;;;;;;X
PROV786;두미야트 ;;;;;;;;;;X
PROV787;카이로 ;;;;;;;;;;X
PROV788;기자 ;;;;;;;;;;X
PROV789;알렉산드리아 ;;;;;;;;;;X
PROV790;탄타 ;;;;;;;;;;X
PROV791;포트 사이드 ;;;;;;;;;;X
PROV792;엘 파이윰 ;;;;;;;;;;X
PROV793;미니아 ;;;;;;;;;;X
PROV794;아시우트 ;;;;;;;;;;X
PROV795;아스완 ;;;;;;;;;;X
PROV796;엘 가르다카 ;;;;;;;;;;X
PROV797;룩소르 ;;;;;;;;;;X
PROV798;엘 카르가 ;;;;;;;;;;X
PROV799;모가라 ;;;;;;;;;;X
PROV800;비르 나히드 ;;;;;;;;;;X
PROV801;엘 파라프라 ;;;;;;;;;;X
PROV802;엘 카스르 ;;;;;;;;;;X
PROV803;와디 할파 ;;;;;;;;;;X
PROV804;둥쿨라 ;;;;;;;;;;X
PROV805;옴두르만 ;;;;;;;;;;X
PROV806;엘 오베이드 ;;;;;;;;;;X
PROV807;주바 ;;;;;;;;;;X
PROV808;나얄라 ;;;;;;;;;;X
PROV809;와우 ;;;;;;;;;;X
PROV810;하르툼 ;;;;;;;;;;X
PROV811;엘 카다리프 ;;;;;;;;;;X
PROV812;말라칼 ;;;;;;;;;;X
PROV813;포트 수단 ;;;;;;;;;;X
PROV814;카살라 ;;;;;;;;;;X
PROV815;마사와 ;;;;;;;;;;X
PROV816;아사브 ;;;;;;;;;;X
PROV817;아스마라 ;;;;;;;;;;X
PROV818;디레 다와 ;;;;;;;;;;X
PROV819;텐다호 ;;;;;;;;;;X
PROV820;데시에 ;;;;;;;;;;X
PROV821;아디그랏 ;;;;;;;;;;X
PROV822;데브레 마스코스 ;;;;;;;;;;X
PROV823;곤다르 ;;;;;;;;;;X
PROV824;아소사 ;;;;;;;;;;X
PROV825;아디스 아바바 ;;;;;;;;;;X
PROV826;고바 ;;;;;;;;;;X
PROV827;고데 ;;;;;;;;;;X
PROV828;하라르 ;;;;;;;;;;X
PROV829;짐마 ;;;;;;;;;;X
PROV830;아르바 민치 ;;;;;;;;;;X
PROV831;아와사 ;;;;;;;;;;X
PROV832;하르게이사 ;;;;;;;;;;X
PROV833;지부티 ;;;;;;;;;;X
PROV834;가르도 ;;;;;;;;;;X
PROV835;갈카쿄 ;;;;;;;;;;X
PROV836;모가디슈 ;;;;;;;;;;X
PROV837;바이다보 ;;;;;;;;;;X
PROV838;키스마요 ;;;;;;;;;;X
PROV839;가리사 ;;;;;;;;;;X
PROV840;소코트라 ;;;;;;;;;;X
PROV841;나이로비 ;;;;;;;;;;X
PROV842;몸바사 ;;;;;;;;;;X
PROV843;나쿠루 ;;;;;;;;;;X
PROV844;캄팔라 ;;;;;;;;;;X
PROV845;굴루 ;;;;;;;;;;X
PROV846;키갈리 ;;;;;;;;;;X
PROV847;우숨부라 ;;;;;;;;;;X
PROV848;음완자 ;;;;;;;;;;X
PROV849;음베야 ;;;;;;;;;;X
PROV850;다르 에스 살람 ;;;;;;;;;;X
PROV851;타보라 ;;;;;;;;;;X
PROV852;잔지바르 ;;;;;;;;;;X
PROV853;포르토 아멜리아 ;;;;;;;;;;X
PROV854;남풀라 ;;;;;;;;;;X
PROV855;로렌소 마르케스 ;;;;;;;;;;X
PROV856;마시셰 ;;;;;;;;;;X
PROV857;베이라 ;;;;;;;;;;X
PROV858;울롱궤 ;;;;;;;;;;X
PROV859;리빙스턴 ;;;;;;;;;;X
PROV860;칼라보 ;;;;;;;;;;X
PROV861;카사마 ;;;;;;;;;;X
PROV862;칭골라 ;;;;;;;;;;X
PROV863;루사카 ;;;;;;;;;;X
PROV864;블랜타이어 ;;;;;;;;;;X
PROV865;치파타 ;;;;;;;;;;X
PROV866;불라와요 ;;;;;;;;;;X
PROV867;솔즈베리 ;;;;;;;;;;X
PROV868;왕키에 ;;;;;;;;;;X
PROV869;프랜시스타운 ;;;;;;;;;;X
PROV870;가베로네스 ;;;;;;;;;;X
PROV871;마운 ;;;;;;;;;;X
PROV872;더반 ;;;;;;;;;;X
PROV873;프리토리아 ;;;;;;;;;;X
PROV874;마세루 ;;;;;;;;;;X
PROV875;블룸폰테인 ;;;;;;;;;;X
PROV876;요하네스버그 ;;;;;;;;;;X
PROV877;음바바네 ;;;;;;;;;;X
PROV878;킴벌리 ;;;;;;;;;;X
PROV879;데 아르 ;;;;;;;;;;X
PROV880;케이프 타운 ;;;;;;;;;;X
PROV881;포트 엘리자베스 ;;;;;;;;;;X
PROV882;스와코프문트 ;;;;;;;;;;X
PROV883;뤼데리츠 ;;;;;;;;;;X
PROV884;빈트후크 ;;;;;;;;;;X
PROV885;카티마 물릴로 ;;;;;;;;;;X
PROV886;추메브 ;;;;;;;;;;X
PROV887;루에나 ;;;;;;;;;;X
PROV888;루방구 ;;;;;;;;;;X
PROV889;발보아 ;;;;;;;;;;X
PROV890;헨리크 데 카르발요 ;;;;;;;;;;X
PROV891;메농게 ;;;;;;;;;;X
PROV892;로비토 ;;;;;;;;;;X
PROV893;카빈다 ;;;;;;;;;;X
PROV894;마타디 ;;;;;;;;;;X
PROV895;루안다 ;;;;;;;;;;X
PROV896;세인트 헬레나 ;;;;;;;;;;X
PROV897;콜웨지 ;;;;;;;;;;X
PROV898;엘리자베트빌 ;;;;;;;;;;X
PROV899;레오폴드빌 ;;;;;;;;;;X
PROV900;수에즈 ;;;;;;;;;;X
PROV901;키크위트 ;;;;;;;;;;X
PROV902;루알라부르 ;;;;;;;;;;X
PROV903;아바 ;;;;;;;;;;X
PROV904;스탠리빌 ;;;;;;;;;;X
PROV905;코스터맨즈빌 ;;;;;;;;;;X
PROV906;코키야빌 ;;;;;;;;;;X
PROV907;브라자빌 ;;;;;;;;;;X
PROV908;우에소 ;;;;;;;;;;X
PROV909;야운데 ;;;;;;;;;;X
PROV910;베르투아 ;;;;;;;;;;X
PROV911;두알라 ;;;;;;;;;;X
PROV912;상 투메 ;;;;;;;;;;X
PROV913;바타 ;;;;;;;;;;X
PROV914;프랑스빌 ;;;;;;;;;;X
PROV915;리브르빌 ;;;;;;;;;;X
PROV916;말라보 ;;;;;;;;;;X
PROV917;푸앵트-누아르 ;;;;;;;;;;X
PROV918;포르 장티 ;;;;;;;;;;X
PROV919;부아르 ;;;;;;;;;;X
PROV920;포르 라미 ;;;;;;;;;;X
PROV921;아베셰 ;;;;;;;;;;X
PROV922;파야 ;;;;;;;;;;X
PROV923;밤바리 ;;;;;;;;;;X
PROV924;문두 ;;;;;;;;;;X
PROV925;마루아 ;;;;;;;;;;X
PROV926;방기 ;;;;;;;;;;X
PROV927;우아다 ;;;;;;;;;;X
PROV928;은가운데레 ;;;;;;;;;;X
PROV929;라고스 ;;;;;;;;;;X
PROV930;포트 하커트 ;;;;;;;;;;X
PROV931;카치나-알라 ;;;;;;;;;;X
PROV932;이바단 ;;;;;;;;;;X
PROV933;부에아 ;;;;;;;;;;X
PROV934;오쇼그보 ;;;;;;;;;;X
PROV935;베닌 시티 ;;;;;;;;;;X
PROV936;욜라 ;;;;;;;;;;X
PROV937;소코토 ;;;;;;;;;;X
PROV938;마이두구리 ;;;;;;;;;;X
PROV939;카두나 ;;;;;;;;;;X
PROV940;카노 ;;;;;;;;;;X
PROV941;아부자 ;;;;;;;;;;X
PROV942;사이 ;;;;;;;;;;X
PROV943;진데르 ;;;;;;;;;;X
PROV944;니아메 ;;;;;;;;;;X
PROV945;텐코도고 ;;;;;;;;;;X
PROV946;아가데즈 ;;;;;;;;;;X
PROV947;타우아 ;;;;;;;;;;X
PROV948;카라 ;;;;;;;;;;X
PROV949;나티팅구 ;;;;;;;;;;X
PROV950;로메 ;;;;;;;;;;X
PROV951;코토누 ;;;;;;;;;;X
PROV952;타말레 ;;;;;;;;;;X
PROV953;와 ;;;;;;;;;;X
PROV954;쿠마시 ;;;;;;;;;;X
PROV955;호 ;;;;;;;;;;X
PROV956;아크라 ;;;;;;;;;;X
PROV957;와가두구 ;;;;;;;;;;X
PROV958;투간 ;;;;;;;;;;X
PROV959;보보-디울라소 ;;;;;;;;;;X
PROV960;야무수크로 ;;;;;;;;;;X
PROV961;부아케 ;;;;;;;;;;X
PROV962;아비장 ;;;;;;;;;;X
PROV963;비사우 ;;;;;;;;;;X
PROV964;프리타운 ;;;;;;;;;;X
PROV965;라베 ;;;;;;;;;;X
PROV966;코나크리 ;;;;;;;;;;X
PROV967;칸칸 ;;;;;;;;;;X
PROV968;코로고 ;;;;;;;;;;X
PROV969;몬로비아 ;;;;;;;;;;X
PROV970;산 페드로 ;;;;;;;;;;X
PROV971;니오로 두 사헬 ;;;;;;;;;;X
PROV972;세구 ;;;;;;;;;;X
PROV973;시카소 ;;;;;;;;;;X
PROV974;몹티 ;;;;;;;;;;X
PROV975;케이스 ;;;;;;;;;;X
PROV976;바마코 ;;;;;;;;;;X
PROV977;탐바쿤다 ;;;;;;;;;;X
PROV978;다카르 ;;;;;;;;;;X
PROV979;반줄 ;;;;;;;;;;X
PROV980;지긴쇼르 ;;;;;;;;;;X
PROV981;누악쇼트 ;;;;;;;;;;X
PROV982;키파 ;;;;;;;;;;X
PROV983;생 루이 ;;;;;;;;;;X
PROV984;가오 ;;;;;;;;;;X
PROV985;통북투 ;;;;;;;;;;X
PROV986;아타르 ;;;;;;;;;;X
PROV987;엘 아윤 ;;;;;;;;;;X
PROV988;빌라 시스네로스 ;;;;;;;;;;X
PROV989;빌라 벤스 ;;;;;;;;;;X
PROV990;라스팔마스 데 그랑 카나리아 ;;;;;;;;;;X
PROV991;산타 크루스 데 테네리페 ;;;;;;;;;;X
PROV992;카보 베르데 ;;;;;;;;;;X
PROV993;어센션 섬 ;;;;;;;;;;X
PROV994;마데이라 ;;;;;;;;;;X
PROV995;아조레스 제도 ;;;;;;;;;;X
PROV996;생 드니 데 라 레위니옹 ;;;;;;;;;;X
PROV997;포트 루이스 ;;;;;;;;;;X
PROV998;포트 빅토리아 ;;;;;;;;;;X
PROV999;무루니 ;;;;;;;;;;X
PROV1000;마무추 ;;;;;;;;;;X
PROV1001;타나나리베 ;;;;;;;;;;X
PROV1002;타마타베 ;;;;;;;;;;X
PROV1003;포르 도팽 ;;;;;;;;;;X
PROV1004;엘 아리시 ;;;;;;;;;;X
PROV1005;샤름 엘 셰이크 ;;;;;;;;;;X
PROV1006;알 칸타라 ;;;;;;;;;;X
PROV1007;부르 타우피크 ;;;;;;;;;;X
PROV1008;텔 아비브 ;;;;;;;;;;X
PROV1009;가자 ;;;;;;;;;;X
PROV1010;에일라트 ;;;;;;;;;;X
PROV1011;하이파 ;;;;;;;;;;X
PROV1012;프리 ;;;;;;;;;;X
PROV1013;아코 ;;;;;;;;;;X
PROV1014;데이르 에즈 조르 ;;;;;;;;;;X
PROV1015;엘 카미슬리 ;;;;;;;;;;X
PROV1016;다마스쿠스 ;;;;;;;;;;X
PROV1017;힘스 ;;;;;;;;;;X
PROV1018;트라블로스 ;;;;;;;;;;X
PROV1019;베이루트 ;;;;;;;;;;X
PROV1020;골란 ;;;;;;;;;;X
PROV1021;알레포 ;;;;;;;;;;X
PROV1022;암만 ;;;;;;;;;;X
PROV1023;이르비드 ;;;;;;;;;;X
PROV1024;아즈 자르카 ;;;;;;;;;;X
PROV1025;마안 ;;;;;;;;;;X
PROV1026;알 케라크 ;;;;;;;;;;X
PROV1027;아르빌 ;;;;;;;;;;X
PROV1028;알 아마라 ;;;;;;;;;;X
PROV1029;모술 ;;;;;;;;;;X
PROV1030;카르발라 ;;;;;;;;;;X
PROV1031;안 나자프 ;;;;;;;;;;X
PROV1032;바스라 ;;;;;;;;;;X
PROV1033;엘 힐라 ;;;;;;;;;;X
PROV1034;바그다드 ;;;;;;;;;;X
PROV1035;쿠트 ;;;;;;;;;;X
PROV1036;키르쿠크 ;;;;;;;;;;X
PROV1037;안 나시리야 ;;;;;;;;;;X
PROV1038;도하 ;;;;;;;;;;X
PROV1039;아부 다비 ;;;;;;;;;;X
PROV1040;담맘 ;;;;;;;;;;X
PROV1041;쿠웨이트 ;;;;;;;;;;X
PROV1042;조지아 만 ;;;;;;;;;;X
PROV1043;카사브 ;;;;;;;;;;X
PROV1044;하옐 ;;;;;;;;;;X
PROV1045;리야드 ;;;;;;;;;;X
PROV1046;알-자우프 ;;;;;;;;;;X
PROV1047;엘 호푸프 ;;;;;;;;;;X
PROV1048;메디나 ;;;;;;;;;;X
PROV1049;메카 ;;;;;;;;;;X
PROV1050;사나 ;;;;;;;;;;X
PROV1051;엘 무칼라 ;;;;;;;;;;X
PROV1052;무스카트 ;;;;;;;;;;X
PROV1053;아덴 ;;;;;;;;;;X
PROV1054;안타키아 ;;;;;;;;;;X
PROV1055;아다나 ;;;;;;;;;;X
PROV1056;가지안테프 ;;;;;;;;;;X
PROV1057;안탈리아 ;;;;;;;;;;X
PROV1058;타르수스 ;;;;;;;;;;X
PROV1059;시바스 ;;;;;;;;;;X
PROV1060;디야르바키르 ;;;;;;;;;;X
PROV1061;말라티아 ;;;;;;;;;;X
PROV1062;하카리 ;;;;;;;;;;X
PROV1063;에르주룸 ;;;;;;;;;;X
PROV1064;엘라즈으 ;;;;;;;;;;X
PROV1065;카라뷔크 ;;;;;;;;;;X
PROV1066;삼순 ;;;;;;;;;;X
PROV1067;트라브존 ;;;;;;;;;;X
PROV1068;종굴다크 ;;;;;;;;;;X
PROV1069;타이셰트 ;;;;;;;;;;X
PROV1070;카추그 ;;;;;;;;;;X
PROV1071;에스키셰히르 ;;;;;;;;;;X
PROV1072;크륵칼레 ;;;;;;;;;;X
PROV1073;카이세리 ;;;;;;;;;;X
PROV1074;코니아 ;;;;;;;;;;X
PROV1075;앙카라 ;;;;;;;;;;X
PROV1076;이즈미트 ;;;;;;;;;;X
PROV1077;스미르나 ;;;;;;;;;;X
PROV1078;부르사 ;;;;;;;;;;X
PROV1079;데니즐리 ;;;;;;;;;;X
PROV1080;사리 ;;;;;;;;;;X
PROV1081;라스트 ;;;;;;;;;;X
PROV1082;레자이예 ;;;;;;;;;;X
PROV1083;타브리즈 ;;;;;;;;;;X
PROV1084;케르만샤 ;;;;;;;;;;X
PROV1085;테헤란 ;;;;;;;;;;X
PROV1086;이스파한 ;;;;;;;;;;X
PROV1087;하마단 ;;;;;;;;;;X
PROV1088;쉬라즈 ;;;;;;;;;;X
PROV1089;아바즈 ;;;;;;;;;;X
PROV1090;부셰르 ;;;;;;;;;;X
PROV1091;가메룬 ;;;;;;;;;;X
PROV1092;마슈하드 ;;;;;;;;;;X
PROV1093;자헤단 ;;;;;;;;;;X
PROV1094;케르만 ;;;;;;;;;;X
PROV1095;비르잔드 ;;;;;;;;;;X
PROV1096;슈피리어 호 ;;;;;;;;;;X
PROV1097;아슈하바트 ;;;;;;;;;;X
PROV1098;메르브 ;;;;;;;;;;X
PROV1099;사마르칸트 ;;;;;;;;;;X
PROV1100;부하라 ;;;;;;;;;;X
PROV1101;젤레즈노도로즈니 ;;;;;;;;;;X
PROV1102;누쿠스 ;;;;;;;;;;X
PROV1103;타슈켄트 ;;;;;;;;;;X
PROV1104;호루그 ;;;;;;;;;;X
PROV1105;두샨베 ;;;;;;;;;;X
PROV1106;오시 ;;;;;;;;;;X
PROV1107;프룬제 ;;;;;;;;;;X
PROV1108;잠불 ;;;;;;;;;;X
PROV1109;쉼켄트 ;;;;;;;;;;X
PROV1110;키질-오르다 ;;;;;;;;;;X
PROV1111;표도로브카 ;;;;;;;;;;X
PROV1112;노보카잘린스크 ;;;;;;;;;;X
PROV1113;우랄스크 ;;;;;;;;;;X
PROV1114;악튜빈스크 ;;;;;;;;;;X
PROV1115;쿠스타나이 ;;;;;;;;;;X
PROV1116;데르자빈스크 ;;;;;;;;;;X
PROV1117;첼카르 ;;;;;;;;;;X
PROV1118;포트 알렉산드로프스키 ;;;;;;;;;;X
PROV1119;키질 ;;;;;;;;;;X
PROV1120;초이발산 ;;;;;;;;;;X
PROV1121;바양홍고르 ;;;;;;;;;;X
PROV1122;아르바이헤르 ;;;;;;;;;;X
PROV1123;을기 ;;;;;;;;;;X
PROV1124;울란바토르 ;;;;;;;;;;X
PROV1125;뮤렌 ;;;;;;;;;;X
PROV1126;쿤구르 ;;;;;;;;;;X
PROV1127;페르보우랄스크 ;;;;;;;;;;X
PROV1128;니즈니 타길 ;;;;;;;;;;X
PROV1129;보르쿠타 ;;;;;;;;;;X
PROV1130;베레즈니키 ;;;;;;;;;;X
PROV1131;우파 ;;;;;;;;;;X
PROV1132;첼랴빈스크 ;;;;;;;;;;X
PROV1133;오르스크 ;;;;;;;;;;X
PROV1134;오렌부르크 ;;;;;;;;;;X
PROV1135;토볼스크 ;;;;;;;;;;X
PROV1136;튜멘 ;;;;;;;;;;X
PROV1137;쿠르간 ;;;;;;;;;;X
PROV1138;옴스크 ;;;;;;;;;;X
PROV1139;타라 ;;;;;;;;;;X
PROV1140;바르나울 ;;;;;;;;;;X
PROV1141;바라빈스크 ;;;;;;;;;;X
PROV1142;노보시비르스크 ;;;;;;;;;;X
PROV1143;비스크 ;;;;;;;;;;X
PROV1144;케메로보 ;;;;;;;;;;X
PROV1145;쿠즈네츠키 ;;;;;;;;;;X
PROV1146;오이로트-투라 ;;;;;;;;;;X
PROV1147;아바칸 ;;;;;;;;;;X
PROV1148;톰스크 ;;;;;;;;;;X
PROV1149;아시노 ;;;;;;;;;;X
PROV1150;오스차코-보굴스크 ;;;;;;;;;;X
PROV1151;스베르들롭스크 ;;;;;;;;;;X
PROV1152;살레하르트 ;;;;;;;;;;X
PROV1153;우라이 ;;;;;;;;;;X
PROV1154;수르구트 ;;;;;;;;;;X
PROV1155;노릴스크 ;;;;;;;;;;X
PROV1156;크라스노야르스크 ;;;;;;;;;;X
PROV1157;칸스크 ;;;;;;;;;;X
PROV1158;미누신스크 ;;;;;;;;;;X
PROV1159;프리 ;;;;;;;;;;X
PROV1160;페이푸스 호 ;;;;;;;;;;X
PROV1161;칼라칸 ;;;;;;;;;;X
PROV1162;이르쿠츠크 ;;;;;;;;;;X
PROV1163;보다이보 ;;;;;;;;;;X
PROV1164;우스트-쿠트 ;;;;;;;;;;X
PROV1165;브라츠크 ;;;;;;;;;;X
PROV1166;체렘호보 ;;;;;;;;;;X
PROV1167;울란-우데 ;;;;;;;;;;X
PROV1168;보르지아 ;;;;;;;;;;X
PROV1169;치타 ;;;;;;;;;;X
