BRA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
160185;Chief of Staff;ÀÌ¹Ìµð¿ì ¹ÙÇìÅõ ;1910;1932;1999;SC;School of Psychology;Medium;189;X
160186;Chief of Staff;¾ÈÅä´Ï¿ì ´Ù ÆùÅä¶ó ;1911;1923;1999;SC;School of Defence;Medium;185;X
160187;Chief of Staff;º£½ºÆÄÁö¾Æ´© Áö ¾ËºÎÄÉ¸£Å© ;1912;1924;1999;SC;School of Fire Support;Medium;2214;X
160188;Chief of Staff;ÁÖÁ¦ Áö ÆÄ¸®¾Æ ;1914;1920;1999;SC;School of Mass Combat;Medium;2208;X
160189;Chief of Staff;¾Ëº£¸£Åõ Áö ¾Æ±â¾Æ¸£ ;1918;1932;1999;SC;School of Psychology;Medium;183;X
160190;Chief of Staff;ÁÖ¾Ó ÆÇµð¾Æ Ä®·ÎÁ¦¶ó½º ;1919;1932;1999;SC;School of Manoeuvre;Medium;2240;X
160191;Chief of Staff;Æä¸£³­µÎ Áö Ä«¸£¹ß·ù ;1922;1932;1999;SC;School of Defence;Medium;191;X
160192;Chief of Army;¿¡¸£¸Þ½º ´Ù Æù¼¼Ä« ;1906;1923;1999;SC;Armoured Spearhead Doctrine;Medium;192;X
160193;Chief of Army;·çÀÌ½º Áö ¸ð¶óÀÌ½º ;1908;1914;1999;SC;Guns and Butter Doctrine;Medium;2210;X
160194;Chief of Army;Ä«¸¦·ç½º Áö ¾Èµå¶óµå ;1909;1920;1999;SC;Static Defence Doctrine;Medium;188;X
160195;Chief of Army;ÁÖÁ¦ º¸¸£¸Á ;1909;1919;1999;SC;Decisive Battle Doctrine;Medium;196;X
160196;Chief of Army;ÀÌ¹Ìµð¿ì ¹ÙÇìÅõ ;1910;1932;1999;SC;elastic defence doctrine;Medium;189;X
160197;Chief of Army;¾ÈÅä´Ï¿ì ´Ù ÆùÅä¶ó ;1911;1923;1999;SC;Static Defence Doctrine;Medium;185;X
160198;Chief of Army;º£½ºÆÄÁö¾Æ´© Áö ¾ËºÎÄÉ¸£Å© ;1912;1924;1999;SC;Guns and Butter Doctrine;Medium;2214;X
160199;Chief of Army;ÁÖÁ¦ Áö ÆÄ¸®¾Æ ;1914;1920;1999;SC;elastic defence doctrine;Medium;2208;X
160200;Chief of Army;¾Ëº£¸£Åõ Áö ¾Æ±â¾Æ¸£ ;1918;1932;1999;SC;Decisive Battle Doctrine;Medium;183;X
160201;Chief of Army;ÁÖ¾Ó ÆÇµð¾Æ Ä®·ÎÁ¦¶ó½º ;1919;1932;1999;SC;Static Defence Doctrine;Medium;2240;X
160202;Chief of Army;Æä¸£³­µÎ Áö Ä«¸£¹ß·ù ;1922;1932;1999;SC;Armoured Spearhead Doctrine;Medium;191;X
160203;Chief of Navy;¾Ë·¹¼¢µå¸®´© Áö ¾Ë·ÀÄ«¸£ ;1906;1926;1999;SC;Decisive Naval Battle Doctrine;Medium;184;X
160204;Chief of Navy;Á¶¾ÆÅ· Áö ·¹¾Ó ;1910;1913;1999;SC;Base Control Doctrine;Medium;195;X
160205;Chief of Navy;¸¶´©¿¤ ºñ¿¡ÀÌ¶ó ;1912;1913;1999;SC;Power Projection Doctrine;Medium;2211;X
160206;Chief of Navy;º£½ºÆÄÁö¾Æ´© Áö ¾ËºÎÄÉ¸£Å© ;1913;1924;1999;SC;Open Seas Doctrine;Medium;2214;X
160207;Chief of Navy;¾ÈÅä´Ï¿ì Æä·¹ÀÌ¶ó ;1918;1926;1999;SC;Decisive Naval Battle Doctrine;Medium;186;X
160208;Chief of Navy;ÇÏ¿ï Áö ¸ð¶ó ;1919;1924;1999;SC;Base Control Doctrine;Medium;6168;X
160209;Chief of Navy;Á¶¾ÆÅ· »þº£½º ÇÊ·ù ;1920;1932;1999;SC;Indirect Approach Doctrine;Medium;2242;X
160210;Chief of Navy;ÁÖ¾Ó ´Ù º£ÀÌ°¡ ;1921;1932;1999;SC;Open Seas Doctrine;Medium;unknownminister;X
160211;Chief of Air Force;ÁÖÁ¦ Áö Ä«¸£¹ß·ù ;1911;1912;1999;SC;Army Aviation Doctrine;Medium;2209;X
160212;Chief of Air Force;È÷Ä«¸£µÎ Å°¸£Å© ;1912;1915;1999;SC;Carpet Bombing Doctrine;Medium;6228;X
160213;Chief of Air Force;º¥Åõ È÷º£ÀÌ·ç ÇÊ·ù ;1916;1932;1999;SC;Air Superiority Doctrine;Medium;unknownminister;X
160214;Head of State;¾ÈÅä´Ï¿ì Áö ¸ð¶óÀÌ½º ;1902;1932;1999;LWR;Die-hard Reformer;Medium;2222;X
160215;Head of Government;½Çº£¸®¿ì ÆùÆ¼½º ;1902;1914;1999;LWR;Ambitious Union Boss;Medium;6245;X
160216;Head of Government;¾Æ½ºÆ®·ÎÁúµÎ Æä·¹ÀÌ¶ó ;1914;1932;1999;LWR;Silent Workhorse;Medium;2224;X
160217;Head of Government;¾Æºô¸®¿ì Áö ³×ÄÉÆ® ;1918;1932;1999;LWR;Naive Optimist;Medium;2216;X
160218;Foreign Minister;¾Ë¹Ù·ç ÆÈ¸ÞÀÌ¶ó ;1902;1918;1999;LWR;Ideological Crusader;Medium;unknownminister;X
160219;Foreign Minister;½Çº£¸®¿ì ÆùÆ¼½º ;1902;1928;1999;LWR;Great Compromiser;Medium;6245;X
160220;Foreign Minister;¸¶´©¿¤ º½ÇÎ ;1902;1932;1999;LWR;Apologetic Clerk;Medium;2084;X
160221;Foreign Minister;ÇÁ¶õ½Ã½ºÄí Áö ¹Ì¶õ´Ù ;1918;1932;1999;LWR;Biased Intellectual;Medium;2236;X
160222;Minister of Armament;ÁÖÁ¦ È£µå¸®°Ô½º ·¹ÀÌÆ® ;1902;1932;1999;LWR;Resource Industrialist;Medium;1741;X
160223;Minister of Armament;¾Æ±×¸®ÇÇ´© ³ªÀÚ·¹ ;1902;1918;1999;LWR;Military Entrepreneur;Medium;unknownminister;X
160224;Minister of Armament;¸¶¿ì¸®½Ã¿ì Áö ¶ó¼¼¸£´Ù ;1918;1932;1999;LWR;Corrupt Kleptocrat;Medium;unknownminister;X
160225;Minister of Security;ÁÖÁ¦ ´Ù ·ÎÄ« Æûº¸ ;1902;1932;1999;LWR;Prince of Terror;Medium;3712;X
160226;Minister of Security;ÁÖÁ¦ Áö ¸¶Åä½º ;1902;1916;1999;LWR;Man of the People;Medium;2069;X
160227;Minister of Security;¸¶´©¿¤ º½ÇÎ ;1902;1932;1999;LWR;Compassionate Gentleman;Medium;2084;X
160228;Minister of Security;Å©·ç½º ÁÖ´Ï¿À¸£ ;1918;1932;1999;LWR;Efficient Sociopath;Medium;unknownminister;X
160229;Chief of Navy;Protógenes Guimarães;19;19;19;SC;decisive naval battle doctrine;Medium;9748;X
160230;Chief of Navy;Renato de Almeida Guillobel;1951;1954;1976;SC;open seas doctrine;Medium;9749;X
160231;Chief of Navy;Edmundo Jordão Amorim do Valle;1954;1955;1972;SC;decisive naval battle doctrine;Medium;9750;X
160232;Chief of Navy;Antônio Alves Câmara Júnior;1955;1958;1959;SC;open seas doctrine;Medium;9751;X
160233;Chief of Navy;Jorge do Paço Matoso Maia;1958;1962;1974;SC;decisive naval battle doctrine;Medium;9752;X
