GRE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
90249;Chief of Air Force;Miltiadis Georgiadis;1945;1945;1976;SC;army aviation doctrine;Medium;9780;X
90250;Chief of Air Force;Haralampos Mitilinaios;1946;1948;1991;SC;army aviation doctrine;Medium;9781;X
90251;Chief of Air Force;Haralampos Potamianos;1948;1950;2010;SC;carpet bombing doctrine;Medium;9782;X
90252;Chief of Air Force;Emmanouil Kelaidis;1950;1955;1990;SC;air superiority doctrine;Medium;9783;X
90253;Chief of Air Force;Konstantinos Margaritis;1955;1962;1980;SC;army aviation doctrine;Medium;9784;X
90254;Chief of Air Force;Dimitrios Theodosiadis;1962;1963;1999;SC;air superiority doctrine;Medium;9785;X
90255;Chief of Staff;Konstantinos Sapountzakis;1901;1912;1914;SC;school of fire support;High;7780;X
90256;Chief of Staff;Konstantinos Nider;1912;1914;1924;SC;school of fire support;High;7775;X
90257;Chief of Staff;Patroklos Kontogiannis;1913;1913;1914;SC;school of defence;High;unknownminister;X
90258;Chief of Staff;Victor Dousmanis;1914;1922;1923;SC;school of defence;High;615;X
90259;Chief of Staff;Konstantinos Moshopolos;1916;1917;1921;SC;school of manoeuvre;High;7770;X
90260;Chief of Staff;Xenophon Stratigos;1916;1922;1922;SC;school of fire support;High;9786;X
90261;Chief of Staff;Anastasios Charalambis;1917;1918;1923;SC;school of psychology;High;3797;X
90262;Chief of Staff;Aristotelis Vlachopoulos;1920;1921;1924;SC;school of fire support;High;9787;X
90263;Chief of Staff;Konstantinos Gouvelis;1921;1922;1923;SC;school of defence;High;unknownminister;X
90264;Chief of Staff;Athanasios Exadaktilos;1921;1923;1924;SC;school of fire support;High;9788;X
90265;Chief of Staff;Ioannis Makrikostas;1922;1923;1923;SC;school of defence;High;unknownminister;X
90266;Chief of Staff;Nikolaos Vlachopoulos;1922;1928;1929;SC;school of fire support;High;9789;X
90267;Chief of Staff;Petros Klados;1924;1925;1925;SC;school of defence;High;L31508;X
90268;Chief of Staff;Alexandros Mazarakis-Ainian;1924;1931;1937;SC;school of manoeuvre;High;9790;X
90269;Chief of Staff;Ptolemeos Sarigiannis;1925;1926;1927;SC;school of fire support;High;9791;X
90270;Chief of Staff;Alexandros Merentitis;1928;1929;1935;SC;school of defence;High;unknownminister;X
90271;Chief of Staff;Konstantinos Manetas;1931;1932;1936;SL;school of fire support;High;9792;X
90272;Chief of Staff;Theodoros Manetas;1931;1933;1936;SL;school of defence;High;9793;X
90273;Chief of Staff;Dimitrios Katheniotis;1933;1935;1936;SC;school of fire support;High;9794;X
90274;Chief of Staff;Konstantinos Pallas;1940;1941;1942;SC;school of defence;High;9795;X
90275;Chief of Staff;Napoleon Batas;1941;1942;1948;SC;school of fire support;High;9796;X
90276;Chief of Staff;Vasilios Maraveas;1942;1943;1948;SC;school of defence;High;9797;X
90277;Chief of Staff;Andreas Skoulas;1943;1944;1944;SC;school of fire support;High;9798;X
90278;Chief of Staff;Alkiviadis Bourdaras;1943;1944;1944;SC;school of defence;High;unknownminister;X
90279;Chief of Staff;Dimitrios Laios;1943;1944;1944;SC;school of fire support;High;9799;X
90280;Chief of Staff;Efstathios Liosis;1943;1944;1949;SC;school of defence;High;9800;X
90281;Chief of Staff;Konstantinos Ventiris;1944;1951;1952;SC;school of psychology;High;9801;X
90282;Chief of Staff;Georgios Dromazos;1945;1946;1947;SC;school of fire support;High;9802;X
