FRA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
5264;Foreign Minister;가스통 두메르게 ;1913;1936;1999;SD;Great Compromiser;High;2583;X
5265;Foreign Minister;장 크루피 ;1914;1936;1999;LWR;Great Compromiser;Very High;2584;X
5266;Foreign Minister;쥐스탕 드 셀브 ;1914;1936;1999;LWR;Apologetic Clerk;Very High;2585;X
5267;Foreign Minister;레옹 부르주아 ;1895;1925;1999;SL;Biased Intellectual;High;2586;X
5268;Foreign Minister;루이 프랑셰 데스페레 ;1914;1936;1999;FA;General Staffer;High;2587;X
5269;Foreign Minister;루이 프로사르 ;1914;1936;1999;ST;iron fisted brute;Very High;unknownminister;X
5270;Foreign Minister;레몽 푸앵카레 ;1914;1936;1999;SL;Ideological Crusader;Very High;2588;X
5271;Foreign Minister;르네 비비아니 ;1914;1936;1999;SD;Great Compromiser;Very High;2589;X
5272;Foreign Minister;스테판 피숑 ;1914;1936;1999;SL;Ideological Crusader;Very High;2590;X
5273;Foreign Minister;테오필 델카스 ;1914;1936;1999;SL;Great Compromiser;Very High;2591;X
5274;Foreign Minister;아리스티드 브리앙 ;1915;1936;1999;SD;Ideological Crusader;Very High;2592;X
5275;Foreign Minister;필리프 페탱 ;1916;1936;1999;PA;General Staffer;High;2572;X
5276;Foreign Minister;알렉상드르 리보 ;1917;1936;1999;ML;Biased Intellectual;Very High;2593;X
5277;Foreign Minister;루이 바르투 ;1917;1935;1999;SL;Ideological Crusader;Very High;2594;X
5278;Foreign Minister;알렉상드르 미예랑 ;1917;1936;1999;SD;iron fisted brute;Very High;2595;X
5279;Foreign Minister;조르주 레그 ;1920;1936;1999;SD;Great Compromiser;Very High;2596;X
5280;Foreign Minister;에드몽 르페브르 뒤 프레 ;1924;1936;1999;SL;Apologetic Clerk;Very High;2597;X
5281;Foreign Minister;에두아르 에리오 ;1924;1936;1999;SL;Great Compromiser;Very High;2598;X
5282;Head of Government;알렉상드르 리보 ;1914;1936;1999;ML;Silent Workhorse;High;2593;X
5283;Head of Government;아리스티드 브리앙 ;1914;1936;1999;SD;Silent Workhorse;High;2592;X
5284;Head of Government;에르네스트 모니스 ;1914;1936;1999;LWR;Political Protege;Very High;2599;X
5285;Head of Government;페르디낭 포슈 ;1914;1929;1999;FA;Old General;High;2569;X
5286;Head of Government;가스통 두메르게 ;1914;1936;1999;SD;Happy Amateur;High;2583;X
5287;Head of Government;조르주 클레망소 ;1914;1929;1999;SL;The Tiger;High;2600;X
5288;Head of Government;조제프 카이유 ;1914;1936;1999;LWR;Naive Optimist;Very High;2601;X
5289;Head of Government;루이 바르투 ;1914;1935;1999;SL;Silent Workhorse;Very High;2594;X
5290;Head of Government;마르셀 카생 ;1914;1936;1999;ST;Ambitious Union Boss;High;2602;X
5291;Head of Government;레몽 푸앵카레 ;1914;1936;1999;ML;Flamboyant Tough Guy;High;2588;X
5292;Head of Government;르네 비비아니 ;1914;1936;1999;SD;Political Protege;High;2589;X
5293;Head of Government;필리프 페탱 ;1916;1936;1999;PA;Old General;High;2572;X
5294;Head of Government;폴 팽르베 ;1917;1936;1999;SD;Silent Workhorse;High;2603;X
5295;Head of Government;알렉상드르 미예랑 ;1917;1936;1999;SD;Silent Workhorse;High;2595;X
5296;Head of Government;조르주 레그 ;1920;1936;1999;SD;Ambitious Union Boss;High;2596;X
5297;Head of Government;에두아르 에리오 ;1924;1936;1999;SL;Political Protege;High;2598;X
5298;Head of Government;페데릭 프랑수아 마살 ;1924;1936;1999;SL;Political Protege;High;2604;X
5299;Head of Military Intelligence;조르주 라두 ;1914;1936;1999;ML;Dismal Enigma;Very High;2605;X
5300;Head of Military Intelligence;스토앙 미네프;1914;1936;1999;ST;Political Specialist;High;unknownminister;X
5301;Head of State;쥘 멜리느 ;1914;1936;1999;SL;Benevolent Gentleman;Very High;2606;X
5302;Head of State;쥘 팜스 ;1914;1936;1999;SL;Benevolent Gentleman;Very High;2607;X
5303;Head of State;루이 프로사르 ;1914;1936;1999;ST;Die-hard Reformer;High;unknownminister;X
5304;Head of State;루이 리요테 ;1914;1936;1999;PA;Stern Imperialist;High;2608;X
5305;Head of State;폴 두메르 ;1914;1936;1999;SD;Die-hard Reformer;Very High;2609;X
5306;Head of State;필리프 8세 ;1914;1926;1999;SC;Autocratic Charmer;Very High;2610;X
5307;Head of State;레몽 푸앵카레 ;1914;1936;1999;ML;Autocratic Charmer;High;2588;X
5308;Head of State;필리프 페탱 ;1916;1936;1999;PA;Resigned Generalissimo;High;2572;X
5309;Head of State;알렉상드르 미예랑 ;1917;1936;1999;SD;Die-hard Reformer;High;2595;X
5310;Head of State;샤를 조나 ;1920;1936;1999;SD;Insignificant Layman;High;2581;X
5311;Head of State;조르주 클레망소 ;1917;1936;1999;SL;Die-hard Reformer;High;2600;X
5312;Head of State;귀스타브 들로리 ;1920;1936;1999;LWR;Die-hard Reformer;High;2611;X
5313;Head of State;폴 데샤넬 ;1917;1920;1999;ML;Barking Buffoon;High;2612;X
5314;Head of State;가스통 두메르게 ;1914;1936;1999;SD;Insignificant Layman;High;2583;X
5315;Head of State;폴 팽르베 ;1924;1936;1999;SD;Benevolent Gentleman;High;2603;X
5316;Head of State;제피랭 카멜리나 ;1924;1936;1999;ST;Benevolent Gentleman;High;2613;X
5317;Minister of Armament;알렉상드르 리보 ;1914;1936;1999;ML;Laissez-Faire Capitalist;Very High;2593;X
5318;Minister of Armament;오귀스트 뒤바일 ;1914;1936;1999;FA;Infantry Proponent;Very High;2567;X
5319;Minister of Armament;샤를 뒤몽 ;1914;1936;1999;LWR;Administrative Genius;Very High;2614;X
5320;Minister of Armament;에티엔 클레망텔 ;1914;1936;1999;SL;Resource Industrialist;Very High;2615;X
5321;Minister of Armament;조제프 카이유 ;1914;1936;1999;LWR;Resource Industrialist;High;2601;X
5322;Minister of Armament;조제프 눌랑스 ;1914;1936;1999;SD;Resource Industrialist;Very High;3782;X
5323;Minister of Armament;루이 루시앙 클로츠 ;1914;1936;1999;LWR;Corrupt Kleptocrat;Very High;2616;X
5324;Minister of Armament;마르셀 카생;1914;1936;1999;ST;Planned economy proponent;Very High;2602;X
5325;Minister of Armament;폴 페트랄 ;1914;1936;1999;SL;Laissez-Faire Capitalist;Very High;2617;X
5326;Minister of Armament;레몽 푸앵카레 ;1914;1936;1999;ML;Laissez-Faire Capitalist;Very High;2588;X
5327;Minister of Armament;르네 르노 ;1914;1936;1999;SD;Resource Industrialist;Very High;2618;X
5328;Minister of Armament;조제프 갈리에니 ;1915;1936;1999;ML;Infantry Proponent;Very High;2619;X
5329;Minister of Armament;알베르 토마 ;1916;1936;1999;ML;Military Entrepreneur;Very High;2620;X
5330;Minister of Armament;루이 말비 ;1916;1936;1999;LWR;Resource Industrialist;Very High;2621;X
5331;Minister of Armament;조제프 티에리 ;1917;1936;1999;SL;Laissez-Faire Capitalist;Very High;2622;X
5332;Minister of Armament;페데릭 프랑수아 마살 ;1917;1936;1999;SL;Resource Industrialist;Very High;2604;X
5333;Minister of Armament;폴 두메르 ;1921;1936;1999;SD;Administrative Genius;Very High;2609;X
5334;Minister of Armament;샤를 드 레스테리 ;1922;1936;1999;ML;Laissez-Faire Capitalist;Very High;2623;X
5335;Minister of Security;알프레드 로스메르 ;1914;1936;1999;ST;Back Stabber;Medium;2624;X
5336;Minister of Security;아리스티드 브리앙 ;1914;1936;1999;SD;Compassionate Gentleman;Very High;2592;X
5337;Minister of Security;샤를 망쟁 ;1914;1936;1999;PA;Efficient Sociopath;High;2625;X
5338;Minister of Security;에르네스트 모니스 ;1914;1936;1999;LWR;Silent Lawyer;Very High;2599;X
5339;Minister of Security;외젠 에티엔 ;1914;1936;1999;LWR;Silent Lawyer;Very High;2626;X
5340;Minister of Armament;조르주 클레망소 ;1914;1929;1999;SL;military entrepreneur;Very High;2600;X
5341;Minister of Security;장 조레스 ;1914;1915;1999;SD;Man of the People;Medium;2627;X
5342;Minister of Security;루이 바르투 ;1914;1935;1999;SL;Silent Lawyer;Very High;2594;X
5343;Minister of Security;루이 말비 ;1914;1936;1999;LWR;Silent Lawyer;Very High;2621;X
5344;Minister of Security;루이 루시앙 클로츠 ;1914;1936;1999;LWR;Compassionate Gentleman;Very High;2616;X
5345;Minister of Security;폴 페트랄 ;1914;1936;1999;SL;Compassionate Gentleman;Very High;2617;X
5346;Minister of Security;르네 르노 ;1914;1936;1999;SD;Man of the People;High;2618;X
5347;Minister of Security;테오도르 스테그 ;1914;1936;1999;LWR;Man of the People;Very High;2628;X
5348;Minister of Security;조제프 카이유 ;1916;1936;1999;LWR;Compassionate Gentleman;High;2601;X
5349;Minister of Security;쥘 팜스 ;1917;1936;1999;SL;Crime Fighter;Very High;2607;X
5350;Minister of Security;피에르 마로 ;1921;1936;1999;SD;Man of the People;Very High;3783;X
5351;Minister of Security;모리스 마우노리 ;1922;1936;1999;SL;Silent Lawyer;Very High;2629;X
5352;Minister of Security;카미유 쇼탕 ;1924;1936;1999;SL;Man of the People;Very High;2630;X
5353;Minister of Security;쥐스탕 드 셀브 ;1924;1936;1999;SL;Crime Fighter;Very High;2585;X
5354;Head of Military Intelligence;샤를 조제프 뒤퐁 ;1913;1936;1999;SL;Technical Specialist;High;2631;X
5355;Minister of Security;자비에르 발라 ;1937;1964;1999;NS;Back Stabber;Low;9921;x
5356;Chief of Staff;자비에르 발라 ;1941;1964;1999;NS;School of Defence;Low;9921;x
5357;Foreign Minister;장 퐁테누아 ;1939;1964;1999;FA;Ideological Crusader;Medium;6109;x
5358;Foreign Minister;샤를 모라스 ;1930;1964;1999;FA;Biased Intellectual;Very High;6110;x
5359;Minister of Security;장 퐁테누아 ;1942;1964;1999;FA;Man of the People;Medium;6109;x 
5360;Minister of Security;장 마리 르 펜 ;1956;1964;1999;FA;Prince of Terror;High;6111;x
5361;Minister of Security;르네 비네 ;1945;1964;1999;FA;Prince of Terror;Medium;6112;x
5362;Chief of Staff;르네 비네 ;1946;1964;1999;FA;School of Psychology;Medium;6112;x
5363;Chief of Staff;외젠 들롱클;1933;1964;1999;FA;School of Fire Support;Medium;6113;x
5364;Foreign Minister;외젠 들롱클;1939;1964;1999;FA;General Staffer;Medium;6113;x
5365;Minister of Armament;르노 루이 ;1940;1964;1999;PA;Steel magnate;Medium;8531;x
5366;Foreign Minister;로베르 브라질랴크 ;1940;1964;1999;NS;Biased Intellectual;High;9916;x
5367;Foreign Minister;르바테 루시앙 ;1942;1964;1999;NS;The Cloak N Dagger Schemer;Medium;5785;x
5368;Foreign Minister;모리스 퓌조 ;1930;1964;1999;FA;The Cloak N Dagger Schemer;Medium;9917;x
5369;Minister of Security;모르니에 티에리 ;1940;1964;1999;FA;Prince of Terror;Medium;6018;x
5370;Chief of Army;앙드레 벨 ;1950;1964;1999;SC;Elastic Defence Doctrine;High;6019;x
5371;Chief of Army;앙드레 벨 ;1950;1964;1999;PA;Elastic Defence Doctrine;High;6019;x
5372;Minister of Armament;알렉상드르 미예랑 ;1914;1936;1999;SD;resource industrialist;Very High;2595;X
5373;Chief of Navy;루이 피베 ;1914;1920;1999;SL;Open Seas Doctrine;High;8018;X
5374;Chief of Air Force;오귀스트 일샤우어 ;1914;1936;1999;SL;Air Superiority Doctrine;High;8019;X
5375;Chief of Navy;장 마리 샤를 아브리알 ;1924;1964;1999;FA;Decisive Naval Battle Doctrine;Medium;7765;x
5376;Chief of Navy;장 드쿠 ;1938;1964;1999;NS;Indirect Approach Doctrine;High;7766;x
5377;Chief of Navy;샤를 플라통 ;1940;1964;1999;FA;Decisive Naval Battle Doctrine;Medium;7767;x
5378;Minister of Security;장 드쿠 ;1941;1964;1999;NS;Crime Fighter;Medium;7766;x
5379;Minister of Armament;피에르 에티엔 플랑댕 ;1931;1936;1999;SL;Resource Industrialist;Very High;M2003;X
5380;Head of State;장 에네시 ;1924;1936;1999;SD;Benevolent Gentleman;High;unknownminister;X
5381;Head of Government;외젠 들롱클 ;1924;1964;1999;FA;Flamboyant Tough Guy;Medium;6113;x
5382;Minister of Armament;루이 제르망 마탱 ;1914;1964;1999;SD;Resource Industrialist;Medium;9904;X
5383;Head of State;장 3세 ;1926;1940;1999;SC;Autocratic Charmer;Very High;unknownminister;X
5384;Chief of Army;에드몽 부아 ;1914;1924;1999;ML;Decisive Battle Doctrine;Very High;2579;X
5385;Chief of Navy;피에르 로아크 ;1919;1921;1999;ML;Decisive Naval Battle Doctrine;Very High;9717;X
5386;Chief of Navy;앙리 살라운 ;1920;1928;1999;ML;Decisive Naval Battle Doctrine;Very High;9718;X
5387;Chief of Navy;모리스 그라세 ;1921;1936;1999;ML;Decisive Naval Battle Doctrine;Very High;9720;X
5388;Chief of Navy;루이 비올레트 ;1928;1936;1999;ML;Decisive Naval Battle Doctrine;Very High;9721;X
5389;Chief of Air Force;로랑 아이나크 ;1928;1936;1999;ML;Army Aviation Doctrine;Very High;unknownminister;X
5390;Chief of Air Force;폴 팽르베 ;1930;1933;1999;ML;Army Aviation Doctrine;Very High;2603;X
5391;Chief of Air Force;자크 루이 뒤메스닐 ;1931;1936;1999;ML;Army Aviation Doctrine;Very High;9719;X
5015;Head of State;장 드 부르봉 ;1940;1964;1999;PA;Benevolent Gentleman;High;M2032;X
5392;Chief of Army;루이 프랑셰 데스페레 ;1924;1936;1999;PA;Elastic Defence Doctrine;Very High;2587;X
5393;Minister of Armament;마르셀 디 ;1938;1964;1999;FA;Laissez-Faire Capitalist;High;M2183;X
5394;Head of Government;샤를 모라스 ;1930;1952;1999;FA;Happy Amateur;Very High;6110;x
5395;Head of Military Intelligence;루이 마리 퀼츠 ;1931;1935;1947;SL;Logistics Specialist;Medium;9289;X
5396;Head of Military Intelligence;모리스 앙리 가우헤 ;1933;1940;1947;SL;Logistics Specialist;Medium;9290;X
5397;Chief of Navy;Georges Durand-Viel;1931;1937;1938;ML;Open Seas Doctrine;Very High;9708;X
5398;Chief of Navy;Ferdinand Jean Jacques de Bon;1916;1920;1924;ML;Decisive Naval Battle Doctrine;Very High;9716;X
5399;Head of Military Intelligence;Raoul Albert Louis Salan;1941;1944;1961;SL;Logistics Specialist;Low;L24135;X
5400;Minister of Security;Albert Sarraut;1938;1941;1963;SL;Compassionate Gentleman;Low;5900;X
