ENG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
10262;Head of Military Intelligence;조지 맥도나 ;1912;1943;1943;SC;industrial specialist;Medium;3750;X
10263;Head of Military Intelligence;월리엄 트웨이츠 ;1916;1934;1934;SC;political specialist;Medium;9639;X
10264;Head of Military Intelligence;월리엄 멜빌 ;1901;1919;1919;SC;political specialist;Medium;9399;X
10265;Head of Military Intelligence;버논 켈 ;1907;1941;1943;SC;naval intelligence specialist;Medium;9393;X
10266;Head of Military Intelligence;맨스필드 조지 스미스 ;1907;1924;1924;SC;technical specialist;Medium;9380;X
10268;Head of Military Intelligence;찰스 오트레이 ;1903;1933;1933;SC;industrial specialist;Medium;unknownminister;X
10269;Head of Military Intelligence;에드먼드 슬레이드 ;1905;1918;1918;SC;naval intelligence specialist;Medium;9343;X
10270;Head of Military Intelligence;알렉산더 배델 ;1907;1919;1919;SC;dismal enigma;Medium;9328;X
10271;Head of Military Intelligence;토마스 잭슨 ;1910;1926;1926;SC;naval intelligence specialist;Medium;9392;X
10272;Head of Military Intelligence;헨리 올리버 ;1911;1934;1934;SC;technical specialist;Medium;9361;X
10273;Head of Military Intelligence;윌리엄 레지널드 홀 ;1912;1920;1920;SC;dismal enigma;Medium;9401;X
10274;Head of Military Intelligence;모리스 스웬펀 피츠모리스 ;1919;1928;1928;SC;industrial specialist;Medium;unknownminister;X
10275;Head of Military Intelligence;앨런 제프리 핫험 ;1922;1930;1930;SC;political specialist;Medium;unknownminister;X
10276;Head of Military Intelligence;바실 톰슨 ;1915;1922;1940;SC;political specialist;Medium;9336;X
10277;Head of Military Intelligence;제임스 알프레드 유잉 ;1915;1930;1930;SC;dismal enigma;Medium;9367;X
10278;Head of Military Intelligence;월리엄 밀본 제임스 ;1915;1945;1945;SC;dismal enigma;Medium;9400;X
10279;Head of Military Intelligence;앨리스테어 데니스톤 ;1917;1943;1946;SC;logistics specialist;Medium;9326;X
10280;Chief of Staff;네빌 리틀턴 ;1902;1913;1913;SC;school of fire support;Medium;9383;X
10281;Chief of Staff;윌리엄 니콜슨 ;1906;1919;1919;SC;school of manoeuvre;Medium;9397;X
10282;Chief of Staff;존 프렌치 ;1910;1922;1922;SC;school of defence;Medium;9372;X
10283;Chief of Staff;찰스 더글러스 ;1912;1915;1926;SC;school of psychology;Medium;9337;X
10284;Chief of Staff;제임스 울프 머레이 ;1912;1918;1920;SC;school of mass combat;Medium;9369;X
10285;Chief of Staff;아치볼드 머레이 ;1913;1923;1923;SC;school of fire support;Medium;9331;X
10286;Chief of Staff;윌리엄 로버트슨 ;1913;1921;1921;SC;school of manoeuvre;Medium;9402;X
10287;Chief of Staff;헨리 윌슨 ;1916;1923;1940;SC;school of defence;Medium;9362;X
10288;Chief of Staff;프레드릭 루돌프 램바트 ;1920;1927;1927;SC;school of mass combat;Medium;9354;X
10289;Chief of Army;제임스 그리어슨 ;1902;1915;1915;SC;guns and butter doctrine;Medium;9368;X
10290;Chief of Army;존 에와트 ;1904;1921;1921;SC;armoured spearhead doctrine;Medium;unknownminister;X
10291;Chief of Army;헨리 윌슨 ;1907;1923;1940;SC;decisive battle doctrine;Medium;9362;X
10292;Chief of Army;찰스 콜웰 ;1912;1919;1929;SC;static defence doctrine;Medium;9640;X
10293;Chief of Army;프레더릭 모리스 ;1913;1919;1952;SC;elastic defence doctrine;Medium;9352;X
10294;Chief of Army;퍼시 래드클리프 ;1916;1935;1935;SC;armoured spearhead doctrine;Medium;9641;X
10295;Chief of Army;월리엄 트웨이츠 ;1920;1934;1934;SC;Doctrine of autonomy;Medium;9639;X
10296;Chief of Army;존 버넷 스튜어트 ;1920;1939;1939;SC;guns and butter doctrine;Medium;9642;X
10297;Chief of Navy;존 아버스넛 피셔 ;1902;1916;1917;SC;base control doctrine;Medium;9370;X
10298;Chief of Navy;아서 니베트 윌슨 ;1908;1919;1919;SC;open seas doctrine;Medium;9334;X
10299;Chief of Navy;프란시스 브릿지먼 ;1909;1914;1914;SC;decisive naval battle doctrine;Medium;9351;X
10300;Chief of Navy;루이스 알렉산더 마운트배튼 ;1910;1915;1922;SC;power projection doctrine;Medium;9379;X
10301;Chief of Navy;헨리 잭슨 ;1913;1925;1925;SC;indirect approach doctrine;Medium;2450;X
10302;Chief of Navy;존 젤리코 ;1914;1920;1920;SC;base control doctrine;Medium;9373;X
10303;Chief of Navy;로슬린 웨미스 ;1915;1934;1934;SC;open seas doctrine;Medium;9389;X
10304;Chief of Navy;데이비드 비티 ;1917;1928;1928;SC;decisive naval battle doctrine;Medium;9340;X
10305;Chief of Air Force;데이비드 헨더슨 ;1912;1922;1922;SC;army aviation doctrine;Medium;9341;X
10306;Chief of Air Force;프레드릭 사이크스 ;1912;1920;1920;SC;air superiority doctrine;Medium;9355;X
10307;Chief of Air Force;휴 트렌처드 ;1912;1931;1931;SC;vertical envelopment doctrine;Medium;9366;X
10308;Chief of Air Force;존 샐먼드 ;1916;1934;1934;SC;army aviation doctrine;Medium;9375;X
10309;Chief of Air Force;에드워드 레너드 엘링턴 ;1916;1941;1941;SC;army aviation doctrine;Medium;7814;X
10310;Chief of Air Force;알렉산더 배너먼 ;1911;1913;1913;SC;carpet bombing doctrine;Medium;9327;X
10311;Chief of Air Force;찰스 럼니 샘슨 ;1910;1930;1930;SC;naval aviation doctrine;Medium;9339;X
10312;Chief of Air Force;머레이 수에터 ;1910;1919;1921;SC;vertical envelopment doctrine;Medium;9381;X
10313;Chief of Air Force;찰스 본 리 ;1913;1921;1921;SC;carpet bombing doctrine;Medium;3749;X
10314;Chief of Air Force;고드프리 페인 ;1915;1921;1921;SC;air superiority doctrine;Medium;9359;X
10315;Head of Government;R.B.D. 블레이크니 ;1926;1958;1958;FA;Flamboyant Tough Guy;High;unknownminister;X
10316;Head of Government;아놀드 스펜서 리즈 ;1931;1941;1957;NS;Flamboyant Tough Guy;High;6010;X
10317;Head of Government;에러스트 파웰 ;1950;1988;1988;PA;Political Protege;high;6011;x
10318;Head of Government;월리엄 애덤슨 ;1917;1937;1937;SL;Naive Optimist;High;9395;x
10319;Head of Government;J. R. 클라인즈 ;1921;1946;1946;SL;Naive Optimist;High;9374;x
10320;Foreign Minister;아놀드 스펜서 리즈 ;1929;1941;1957;NS;The Cloak N Dagger Schemer;Medium;6010;x
10321;Foreign Minister;해럴드 조지 니컬슨 ;1931;1933;1969;PA;Great Compromiser;Very High;6014;x
10322;Foreign Minister;해럴드 조지 니컬슨 ;1935;1969;1969;SC;Great Compromiser;Very High;6014;x
10323;Foreign Minister;존 사이먼 ;1933;1955;1955;SC;The Cloak N Dagger Schemer;High;3809;X
10324;Foreign Minister;아서 헨더슨 ;1927;1936;1936;SD;The Cloak N Dagger Schemer;Very High;9333;X
10325;Minister of Armament;몬터규 콜렛 노먼 ;1933;1945;1945;FA;Laissez-Faire Capitalist;medium;6012;x
10326;Minister of Armament;몬터규 콜렛 노먼 ;1933;1945;1945;PA;Laissez-Faire Capitalist;medium;6012;x
10327;Minister of Security;윌리엄 조이스 ;1931;1946;1992;FA;Man of the People;Medium;M1013;X
10328;Minister of Security;헨리 해밀턴 비미시 ;1931;1946;1999;NS;Man of the People;Medium;unknownminister;X
10329;Minister of Security;존 길모어 ;1925;1941;1941;SL;Compassionate Gentleman;High;8140;
10330;Minister of Security;J. R. 클라인즈 ;1925;1946;1946;SL;Compassionate Gentleman;High;9374;X
10331;Head of Military Intelligence;에러스트 파웰 ;1946;1988;1988;SC;Political Specialist;high;6011;x
10332;Chief of Staff;조지 밀른 ;1925;1934;1934;ML;school of defence;High;9358;X
10333;Chief of Staff;콜린 맥빈 구빈스 ;1940;1947;1947;SC;School of Mass Combat;High;6013;x
10334;Chief of Navy;찰스 매든 ;1925;1931;1931;ML;Decisive Naval Battle Doctrine;High;9338;X
10335;Chief of Navy;프레드릭 필드 ;1928;1933;1933;ML;Decisive Naval Battle Doctrine;High;9353;X
10336;Head of State;톰 만 ;1914;1942;1942;LE;Die-hard Reformer;High;2475;X
10337;Head of Government;톰 만 ;1914;1942;1942;LE;Political Protege;High;2475;X
10338;Head of Government;해리 폴릿 ;1914;1957;1961;LE;Political Protege;High;2457;X
10339;Foreign Minister;노먼 에인절 ;1914;1959;1959;LWR;Apologetic Clerk;Low;2458;X
10340;Foreign Minister;해리 폴릿 ;1914;1957;1961;LE;Ideological Crusader;Very High;2457;X
10341;Minister of Armament;존 번스 ;1914;1944;1944;LWR;Resource Industrialist;High;2480;X
10342;Minister of Armament;샤퍼지 사클라트발라 ;1914;1937;1937;LE;Theoretical Scientist;Medium;2481;X
10343;Minister of Security;아서 호너 ;1940;1960;1969;LE;Health and safety;Medium;M1076;X
10344;Minister of Security;찰스 트리블리안 ;1914;1959;1959;LWR;Silent Lawyer;High;2492;X
10345;Minister of Security;톰 만 ;1914;1942;1942;LE;Crime Fighter;Medium;2475;X
10346;Head of Military Intelligence;윌리엄 갈라처 ;1914;1964;1964;LE;Political Specialist;High;3752;X
10347;Chief of Staff;엠마누엘 신웰 ;1922;1987;1987;LWR;School of Mass Combat;High;M1185;X
10348;Chief of Army;엠마누엘 신웰 ;1922;1987;1987;LWR;static defence doctrine;High;M1185;X
10349;Chief of Navy;앤드류 커닝햄 ;1922;1964;1964;LWR;Power Projection Doctrine;High;M1138;X
10350;Chief of Air Force;월리엄 웨지우드 벤 ;1922;1961;1961;LWR;Air Superiority Doctrine;High;9403;X
10351;Chief of Army;프레드릭 루돌프 램바트 ;1920;1927;1927;SC;static defence doctrine;Medium;9354;X
10352;Chief of Army;조지 밀른 ;1925;1934;1934;ML;static defence doctrine;High;9358;X
10353;Chief of Navy;Louis Alexander Mountbatten;1914;1933;1933;ML;Decisive Naval Battle Doctrine;High;9596;X
10354;Minister of Armament;John Morley;1883;1923;1923;ML;Laissez-Faire Capitalist;Medium;9597;X
10355;Foreign Minister;월리엄 애덤슨 ;1917;1937;1937;SL;The Cloak N Dagger Schemer;High;9395;X
