CHL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
210249;Minister of Security;아르투로 알레산드리 팔마 ;1916;1920;1999;ML;Compassionate Gentleman;Medium;2353;X
210250;Minister of Security;페드로 데 라 우에르타 ;1916;1922;1999;ML;Man of the People;Medium;8459;X
210251;Minister of Security;아르만도 케사다 ;1916;1920;1999;SL;Prince of Terror;Medium;unknownminister;X
210252;Minister of Security;안셀모 에비아 레켈메 ;1917;1921;1999;SL;Crime Fighter;Medium;2349;X
210253;Minister of Security;루이스 세라노 아리에타 ;1917;1921;1999;SL;Silent Lawyer;Medium;8451;X
210254;Minister of Security;엔리케 데 라 파스 ;1917;1921;1999;ML;Back Stabber;Medium;3440;X
210255;Minister of Security;호세 발데스 쿠에바스 ;1917;1921;1999;ML;Efficient Sociopath;Medium;unknownminister;X
210256;Minister of Security;페데리코 푸가 보르네 ;1918;1922;1999;SL;Compassionate Gentleman;Medium;3456;X
210257;Minister of Security;페드로 아기레 세르다 ;1918;1926;1999;SL;Man of the People;Medium;8458;X
210258;Minister of Security;엑토르 아란시비아 라소 ;1919;1923;1999;SL;Prince of Terror;Medium;3474;X
210259;Minister of Security;호르헤 마테 고르마스 ;1920;1924;1999;ML;Crime Fighter;Medium;3994;X
210260;Minister of Security;아르만도 자라미요 ;1920;1924;1999;ML;Silent Lawyer;Medium;2352;X
210261;Minister of Security;안토니오 우네우스 가나 ;1920;1924;1999;ML;Back Stabber;Medium;2350;X
210262;Minister of Security;마누엘 리바스 비쿠냐 ;1920;1924;1999;ML;Efficient Sociopath;Medium;8453;X
210263;Minister of Security;프란시스코 가르세스 가나 ;1921;1925;1999;ML;Compassionate Gentleman;Medium;unknownminister;X
210264;Minister of Security;코르넬리오 사베드라 ;1921;1926;1999;ML;Man of the People;Medium;2359;X
210265;Minister of Security;카를로스 알베르토 ;1921;1925;1999;SL;Prince of Terror;Medium;2355;X
210266;Minister of Security;호세 마사 페르난데스 ;1922;1926;1999;ML;Crime Fighter;Medium;8438;X
210267;Minister of Security;루이스 알타미라노 ;1922;1926;1999;PA;Silent Lawyer;Medium;8447;X
210268;Minister of Security;알시비아데스 롤단 알바레스 ;1922;1926;1999;ML;Back Stabber;Medium;unknownminister;X
210269;Minister of Security;라파엘 산 마르틴 ;1922;1926;1999;ML;Efficient Sociopath;Medium;unknownminister;X
210270;Head of Military Intelligence;호르헤 보넨 리베라 ;1908;1923;1999;SC;Industrial Specialist;Medium;3489;X
210271;Head of Military Intelligence;루이스 알타미라노 ;1920;1926;1999;PA;Technical Specialist;Medium;8447;X
210272;Chief of Staff;에밀리오 코르네르 엔세 ;1900;1910;1999;SC;School of Fire Support;Medium;3427;X
210273;Chief of Staff;호르헤 보넨 리베라 ;1908;1923;1999;SC;School of Manoeuvre;Medium;3489;X
210274;Chief of Staff;아리스티데스 핀토 콘차 ;1918;1922;1999;SC;School of Defence;Medium;2351;X
210275;Chief of Staff;루이스 알타미라노 ;1920;1926;1999;PA;School of Psychology;Medium;8447;X
210276;Chief of Staff;페드로 파블로 다르트넬 ;1922;1927;1999;PA;School of Mass Combat;Medium;8462;X
210277;Chief of Army;에밀리오 코르네르 엔세 ;1898;1910;1999;SC;Guns and Butter Doctrine;Medium;3427;X
210278;Chief of Army;호르헤 보넨 리베라 ;1908;1923;1999;SC;Armoured Spearhead Doctrine;Medium;3489;X
210279;Chief of Army;아리스티데스 핀토 콘차 ;1919;1922;1999;SC;Decisive Battle Doctrine;Medium;2351;X
210280;Chief of Army;루이스 알타미라노 ;1920;1926;1999;PA;Static Defence Doctrine;Medium;8447;X
210281;Chief of Army;페드로 파블로 다르트넬 ;1922;1927;1999;PA;Elastic Defence Doctrine;Medium;8462;X
210282;Chief of Navy;호르헤 몬트 알바레스 ;1895;1915;1999;SC;Base Control Doctrine;Medium;3995;X
210283;Chief of Navy;루이스 알베르토 심프손 ;1911;1918;1999;SC;Open Seas Doctrine;Medium;8445;X
210284;Chief of Navy;린도르 페레스 가시투아 ;1914;1918;1999;SC;Decisive Naval Battle Doctrine;Medium;8444;X
210285;Chief of Navy;호아킨 무뇨스 후르타도 ;1914;1924;1999;SC;Power Projection Doctrine;Medium;3488;X
210286;Chief of Navy;기예르모 수블레트 가린 ;1920;1924;1999;SC;Indirect Approach Doctrine;Medium;3473;X
210287;Chief of Navy;프란시스코 네프 자라 ;1920;1926;1999;SC;Base Control Doctrine;Medium;3461;X
210288;Chief of Navy;살루스티오 발데스 ;1922;1927;1999;PA;Open Seas Doctrine;Medium;unknownminister;X
210289;Chief of Air Force;페드로 파블로 다르트넬 ;1913;1927;1999;PA;Air Superiority Doctrine;Medium;8462;X
210290;Chief of Air Force;아리스티데스 핀토 콘차 ;1913;1922;1999;SC;Army Aviation Doctrine;Medium;2351;X
210291;Chief of Air Force;후안 오르티스 베가 ;1923;1925;1999;SC;Carpet Bombing Doctrine;Medium;unknownminister;X
210292;Chief of Staff;Julio Allard Pinto;1938;1964;1999;LE;School of Manoeuvre;Medium;M44006;X
210293;Chief of Staff;Vicente Merino Bielich;1942;1964;1999;PA;School of Fire Support;Medium;M44102;X
