MEX;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
170273;Chief of Navy;벤하민 일 ;1920;1920;1999;SD;Indirect Approach Doctrine;Medium;918;X
170274;Chief of Navy;엔리케 에스트라다 ;1920;1930;1999;SD;Base Control Doctrine;Medium;1737;X
170275;Chief of Navy;프란시스코 로케 세라노 ;1922;1927;1999;SD;Open Seas Doctrine;Medium;unknownminister;X
170276;Chief of Navy;호아킨 아마로 도밍게스 ;1924;1930;1999;SD;Decisive Naval Battle Doctrine;Medium;7235;X
170277;Chief of Air Force;알베르토 살리나스 카란사 ;1914;1930;1999;ML;Army Aviation Doctrine;Medium;904;X
170278;Head of Military Intelligence;에두아르도 아이 ;1913;1930;1999;ML;Naval Intelligence Specialist;Medium;937;X
170279;Head of Military Intelligence;알바로 오브레곤 ;1913;1930;1999;SD;Technical Specialist;Medium;8366;X
170280;Head of Military Intelligence;하신토 블라스 트레비뇨 ;1913;1928;1999;SL;Logistics Specialist;Medium;7227;X
170281;Head of State;이그나시오 보니야스 ;1920;1930;1999;SL;Weary Stiffneck;Medium;8375;X
170282;Head of Government;이그나시오 보니야스 ;1920;1930;1999;SL;Naive Optimist;Medium;8375;X
170283;Head of State;알베라르도 로드리게스 ;1932;1967;1999;SD;Insignificant Layman;High;5768;X
170284;Head of Government;알베라르도 로드리게스 ;1932;1967;1999;SD;Happy Amateur;High;5768;X
170285;Minister of Security;토마스 가리도 카나발 ;1933;1964;1999;FA;Prince of Terror;Medium;8566;X
170286;Chief of Staff;토마스 가리도 카나발 ;1934;1964;1999;FA;School of Psychology;Medium;8566;X
170287;Head of Government;토마스 가리도 카나발 ;1939;1964;1999;FA;Silent Workhorse;Medium;8566;X
170288;Head of State;니콜라스 로드리게스 ;1936;1964;1999;NS;Resigned Generalissimo;Medium;8567;X
170289;Head of Government;니콜라스 로드리게스 ;1936;1964;1999;NS;Old General;Medium;8567;X
170290;Foreign Minister;살바도르 인판테 ;1936;1964;1999;NS;Ideological Crusader;Medium;8575;X
