USA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
240262;Chief of Staff;존 C. 베이츠 ;1906;1920;1920;ML;School of Fire Support;High;3604;X
240263;Chief of Staff;J. 프랭클린 벨 ;1906;1920;1920;ML;School of Fire Support;High;3605;X
240265;Chief of Staff;레오나드 우드 ;1912;1928;1928;PA;School of Fire Support;High;3606;X
240266;Chief of Staff;월리엄 W. 워더스푼 ;1914;1922;1922;ML;school of defence;High;3607;X
240267;Chief of Staff;휴 L. 스콧 ;1914;1920;1920;ML;School of Fire Support;High;3608;X
240268;Chief of Staff;타스커 H. 블리스 ;1917;1931;1931;ML;School of Mass Combat;High;3609;X
240269;Chief of Staff;페이턴 C. 마치 ;1918;1921;1921;ML;School of Fire Support;High;3610;X
240270;Chief of Staff;존 J. 퍼싱 ;1921;1924;1924;ML;School of Mass Combat;High;3611;X
240271;Chief of Staff;존 L. 하인즈 ;1924;1933;1933;ML;school of manoeuvre;High;3612;X
240272;Chief of Staff;넬슨 A. 마일즈 ;1898;1926;1926;ML;School of Fire Support;High;3613;X
240273;Foreign Minister;필랜더 C. 녹스 ;1908;1922;1922;ML;General Staffer;High;3618;X
240274;Foreign Minister;아우구스투스 베이컨 ;1908;1915;1915;SL;General Staffer;High;3619;X
240275;Foreign Minister;에밀 사이델 ;1910;1948;1948;SD;Ideological Crusader;High;3620;X
240276;Foreign Minister;타스커 H. 블리스 ;1912;1931;1931;PA;General Staffer;High;3609;X
240277;Foreign Minister;버튼 K. 휠러 ;1910;1947;1958;SC;Ideological Crusader;High;3621;X
240278;Foreign Minister;에드워드 M. 하우스 ;1912;1920;1920;SL;Great Compromiser;High;3622;X
240279;Foreign Minister;헨리 캐벗 로지 ;1912;1925;1925;ML;Ideological Crusader;High;3623;X
240280;Foreign Minister;로버트 랜싱 ;1915;1929;1929;SL;Ideological Crusader;High;3624;X
240281;Foreign Minister;오스카 W. 언더우드 ;1915;1930;1930;SL;Great Compromiser;High;3625;X
240282;Foreign Minister;호머 S. 커밍스 ;1919;1940;1940;SL;Great Compromiser;High;3626;X
240283;Foreign Minister;베인브리지 콜비 ;1920;1922;1922;ML;Great Compromiser;High;3627;X
240284;Foreign Minister;찰스 에반스 휴스 ;1920;1926;1926;ML;Biased Intellectual;High;3628;X
240285;Foreign Minister;윌리엄 제닝스 브라이언 ;1900;1926;1926;SL;Apologetic Clerk;High;3629;X
240287;Foreign Minister;제임스 P. 캐넌 ;1918;1975;1975;ST;Ideological Crusader;High;3630;X
240288;Foreign Minister;존 셔먼 ;1897;1901;1901;ML;Ideological Crusader;High;3631;X
240289;Foreign Minister;존 헤이 ;1898;1906;1906;ML;Ideological Crusader;High;3632;X
240290;Foreign Minister;월리엄 V. 알렌 ;1893;1902;1902;SL;Apologetic Clerk;High;3633;X
240291;Head of Government;테오도어 루즈벨트 ;1900;1920;1920;ML;Flamboyant Tough Guy;High;3634;X
240292;Head of Government;코넬리우스 N. 블리스 ;1897;1912;1912;ML;Corporate Suit;High;3635;X
240293;Head of Government;알톤 B. 파커 ;1903;1914;1914;SL;Naive Optimist;High;3636;X
240294;Head of Government;윌리엄 H. 태프트 ;1908;1914;1918;ML;Silent Workhorse;High;3637;X
240295;Head of Government;우드로 윌슨 ;1912;1925;1925;SL;Naive Optimist;High;3638;X
240296;Head of Government;앨런 L. 벤슨 ;1914;1941;1941;SD;Ambitious Union Boss;High;3639;X
240297;Head of Government;찰스 에반스 휴스 ;1916;1926;1926;ML;Silent Workhorse;High;3628;X
240298;Head of Government;에디스 윌슨 ;1919;1922;1922;SL;Happy Amateur;High;3640;X
240299;Head of Government;제임스 M. 콕스 ;1920;1929;1929;SL;Political Protege;High;3641;X
240300;Head of Government;유진 V. 뎁스 ;1900;1927;1927;SD;Ambitious Union Boss;High;3642;X
240301;Head of Government;워런 G. 하딩 ;1914;1924;1924;ML;Backroom Backstabber;High;3643;X
240302;Head of Government;캘빈 쿨리지 ;1920;1934;1934;ML;Silent Workhorse;High;3644;X
240303;Head of Government;존 W. 데이비스 ;1924;1930;1930;SL;Political Protege;High;3645;X
240304;Head of Government;로버트 M. 르포레테 ;1924;1926;1926;SD;Flamboyant Tough Guy;High;3646;X
240305;Head of Government;존 J. 퍼싱 ;1900;1924;1924;PA;Old General;High;3611;X
240306;Head of Government;존 리드 ;1900;1921;1921;ST;Ambitious Union Boss;High;3647;X
240307;Head of Government;윌리엄 매킨리 ;1897;1902;1929;ML;Silent Workhorse;High;3648;X
240308;Head of Government;개릿 A. 호바트 ;1897;1900;1900;SC;Naive Optimist;High;3649;X
240309;Head of Government;윌리엄 제닝스 브라이언 ;1900;1926;1926;SL;Naive Optimist;High;3629;X
240310;Head of Military Intelligence;조셉 쿤 ;1912;1933;1933;SL;Logistics Specialist;High;3650;X
240311;Head of Military Intelligence;랄프 반 드먼 ;1914;1930;1930;PA;Logistics Specialist;High;3651;X
240312;Head of Military Intelligence;랄프 반 드먼 ;1914;1930;1930;ML;Political Specialist;High;3651;X
240313;Head of Military Intelligence;말버러 처칠 ;1918;1921;1921;ML;Dismal Enigma;High;3652;X
240314;Head of Military Intelligence;데니스 E. 놀런 ;1920;1937;1937;ML;Logistics Specialist;High;3653;X
240315;Head of Military Intelligence;스튜어트 헤인첼만 ;1921;1936;1936;ML;Political Specialist;High;3654;X
240316;Head of Military Intelligence;월리엄 K. 네일러 ;1922;1933;1933;ML;Industrial Specialist;High;3999;X
240317;Head of Military Intelligence;제임스 H. 리부스 ;1924;1933;1933;ML;Dismal Enigma;High;7991;X
240319;Head of Military Intelligence;로버트 마이너 ;1920;1953;1953;ST;Political Specialist;High;3655;X
240320;Head of Military Intelligence;넬슨 A. 마일즈 ;1898;1926;1926;ML;Logistics Specialist;High;3613;X
240321;Head of State;테오도어 루즈벨트 ;1900;1920;1920;ML;Die-hard Reformer;High;3634;X
240322;Head of State;코넬리우스 N. 블리스 ;1897;1912;1912;ML;Weary Stiffneck;High;3635;X
240323;Head of State;알톤 B. 파커 ;1903;1914;1914;SL;Benevolent Gentleman;High;3636;X
240324;Head of State;윌리엄 H. 태프트 ;1908;1914;1918;ML;Weary Stiffneck;High;3637;X
240325;Head of State;우드로 윌슨 ;1912;1925;1925;SL;Democratic idealist;High;3638;X
240326;Head of State;레오나드 우드 ;1912;1928;1928;PA;Resigned Generalissimo;High;3606;X
240327;Head of State;앨런 L. 벤슨 ;1914;1941;1941;SD;Die-hard Reformer;High;3639;X
240328;Head of State;찰스 에반스 휴스 ;1916;1926;1926;ML;Insignificant Layman;High;3628;X
240330;Head of State;제임스 M. 콕스 ;1920;1929;1929;SL;Benevolent Gentleman;High;3641;X
240331;Head of State;유진 V. 뎁스 ;1900;1927;1927;SD;Die-hard Reformer;High;3642;X
240332;Head of State;워런 G. 하딩 ;1920;1924;1924;ML;Autocratic Charmer;High;3643;X
240333;Head of State;캘빈 쿨리지 ;1923;1934;1934;ML;Benevolent Gentleman;High;3644;X
240334;Head of State;존 W. 데이비스 ;1924;1930;1930;SL;Insignificant Layman;High;3645;X
240335;Head of State;로버트 M. 르포레테 ;1924;1926;1926;SD;Pig-headed Isolationist;High;3646;X
240336;Head of State;제임스 P. 캐넌 ;1918;1975;1975;ST;Die-hard Reformer;High;3630;X
240337;Head of State;윌리엄 매킨리 ;1897;1902;1929;ML;Stern Imperialist;High;3648;X
240338;Head of State;개릿 A. 호바트 ;1897;1900;1900;SC;Insignificant Layman;High;3649;X
240339;Head of State;윌리엄 제닝스 브라이언 ;1900;1926;1926;SL;Die-hard Reformer;High;3629;X
240340;Minister of Armament;아우구스투스 베이컨 ;1900;1915;1915;SL;Resource Industrialist;High;3619;X
240341;Minister of Armament;레슬리 M. 쇼 ;1902;1933;1933;ML;Resource Industrialist;High;3656;X
240342;Minister of Armament;조지 코르텔류 ;1902;1914;1914;ML;Laissez-Faire Capitalist;High;3657;X
240343;Minister of Armament;존 W. 스미스 ;1904;1926;1926;SL;Resource Industrialist;High;3658;X
240344;Minister of Armament;프랭클린 맥베이그 ;1908;1935;1935;ML;Administrative Genius;High;3659;X
240345;Minister of Armament;W.G. 매카두 ;1912;1920;1920;SL;Administrative Genius;High;3660;X
240346;Minister of Armament;데이비드 F. 휴스턴 ;1912;1922;1922;ML;Laissez-Faire Capitalist;High;3661;X
240347;Minister of Armament;존 J. 퍼싱 ;1900;1924;1924;PA;Infantry Proponent;High;3611;X
240348;Minister of Armament;프레드 워렌 ;1912;1933;1933;SD;Resource Industrialist;High;3662;X
240349;Minister of Armament;빅터 L. 베거 ;1912;1933;1933;SD;Resource Industrialist;High;3663;X
240350;Minister of Armament;카터 글라스 ;1918;1930;1930;SL;Resource Industrialist;High;3664;X
240351;Minister of Armament;앤드류 W. 멜런 ;1920;1938;1938;ML;Resource Industrialist;High;3665;X
240353;Minister of Armament;존 리드 ;1900;1921;1921;ST;Resource Industrialist;High;3647;X
240354;Minister of Armament;라이먼 J. 게이지 ;1900;1928;1928;ML;Administrative Genius;High;3666;X
240355;Minister of Security;에단 A. 히치콕 ;1900;1910;1910;ML;Silent Lawyer;High;3667;X
240356;Minister of Security;필랜더 C. 녹스 ;1900;1922;1922;ML;Silent Lawyer;High;3618;X
240357;Minister of Security;조지 B. 매클레란 ;1900;1927;1927;SL;Man of the People;High;3668;X
240358;Minister of Security;윌리엄 H. 태프트 ;1904;1931;1931;ML;Silent Lawyer;High;3637;X
240359;Minister of Security;제임스 R. 가필드 ;1907;1919;1919;ML;Crime Fighter;High;3669;X
240360;Minister of Security;리처드 A. 볼린저 ;1908;1923;1923;ML;Silent Lawyer;High;3670;X
240361;Minister of Security;벤저민 틸만 ;1908;1919;1919;SL;Silent Lawyer;High;3671;X
240362;Minister of Security;스탠리 W. 핀치 ;1908;1941;1941;ML;Crime Fighter;High;3672;X
240363;Minister of Security;월터 L. 피셔 ;1911;1936;1936;ML;Silent Lawyer;High;3673;X
240364;Minister of Security;알렉산더 브루스 빌라스키 ;1912;1939;1939;SL;Silent Lawyer;High;3674;X
240365;Minister of Security;월리엄 J. 플린 ;1912;1929;1929;ML;Man of the People;High;3675;X
240366;Minister of Security;휴 L. 스콧 ;1912;1920;1920;PA;Crime Fighter;High;3608;X
240367;Minister of Security;알렉산더 M. 팔머 ;1917;1937;1937;ML;Prince of Terror;High;3676;X
240368;Minister of Security;윌리엄 J. 번스 ;1921;1933;1933;ML;Compassionate Gentleman;High;3677;X
240369;Minister of Security;J. 에드거 후버 ;1924;1932;1973;ML;Director of FBI;High;3678;X
240371;Minister of Security;로버트 마이너 ;1920;1953;1953;ST;crooked kleptocrat;High;3655;X
240372;Minister of Security;코넬리우스 N. 블리스 ;1897;1912;1912;ML;Silent Lawyer;High;3635;X
240373;Foreign Minister;프랜시스 파커 요키 ;1945;1961;1961;FA;Biased Intellectual;High;5908;X
240374;Head of Military Intelligence;프랜시스 파커 요키 ;1946;1961;1961;FA;Political Specialist;High;5908;X
240375;Minister of Security;윌리엄 랜돌프 허스트 ;1900;1952;1952;PA;Media magnate;Medium;5913;X
240376;Foreign Minister;월리엄 D. 펠리 ;1933;1966;1966;NS;Ideological Crusader;Medium;M6094;X
240377;Minister of Security;월리엄 D. 펠리 ;1940;1966;1966;NS;Crooked Kleptocrat;Medium;M6094;X
240378;Minister of Armament;윌리엄 H. 우딘 ;1933;1935;1935;SL;Keynesian economy;Very High;8138;x
240379;Chief of Staff;조지 H. 던 ;1933;1937;1937;SD;School of Defence;High;M6004;X
240380;Head of Government;토마스 R. 마셜 ;1913;1921;1921;SL;Naive Optimist;High;9323;X
240381;Head of Government;찰스 G. 도스 ;1923;1930;1930;SC;Naive Optimist;High;3053;X
240382;Head of State;허버트 후버 ;1928;1934;1934;SC;Benevolent Gentleman;High;3087;X
240383;Head of Government;찰스 커티스 ;1928;1937;1937;SC;Naive Optimist;High;3048;X
240384;Head of State;알 스미스 ;1928;1945;1945;SL;Benevolent Gentleman;High;3044;X
240385;Head of Government;프랭클린 D. 루스벨트 ;1924;1946;1946;SL;Silent Workhorse;High;3596;X
240386;Head of Government;찰스 W. 브라이언 ;1924;1946;1946;SL;Naive Optimist;High;3061;X
240387;Head of Government;조셉 테일러 로빈슨 ;1928;1938;1938;SL;Naive Optimist;High;3952;X
240388;Minister of Armament;오그덴 L. 밀즈 ;1932;1938;1938;ML;Resource Industrialist;Very High;9190;X
240389;Head of State;윌리엄 Z. 포스터 ;1923;1962;1962;ST;Ruthless Powermonger;High;M6055;X
240390;Head of Government;벤자민 지트로우 ;1924;1966;1966;ST;Political Protege;High;3046;X
240391;Minister of Armament;아브람 자키라 ;1924;1932;1932;ST;Resource Industrialist;Low;unknownminister;X
240392;Head of Government;제임스 W. 포드 ;1932;1958;1958;ST;Political Protege;High;unknownminister;X
240393;Head of Government;마르틴 아베른 ;1928;1950;1950;ST;Political Protege;High;unknownminister;X
240394;Head of State;휴이 롱 ;1924;1936;1979;PA;Powerhungry Demagogue;High;unknownminister;X
240395;Head of Government;모리스 힐큇 ;1928;1934;1934;SD;Ambitious Union Boss;High;unknownminister;X
240396;Minister of Armament;막스 샤크트만 ;1928;1973;1973;LE;Resource Industrialist;Very High;unknownminister;x
240397;Foreign Minister;막스 샤크트만 ;1928;1973;1973;LE;Ideological Crusader;Medium;unknownminister;X
240398;Minister of Security;마르틴 아베른 ;1928;1950;1950;LE;Crooked Kleptocrat;Medium;unknownminister;X
240399;Minister of Security;알버트 골드만 ;1928;1961;1961;LE;Man of the People;Medium;unknownminister;X
240400;Foreign Minister;마르틴 아베른 ;1928;1950;1950;LE;Ideological Crusader;Medium;unknownminister;X
240401;Head of Military Intelligence;조셉 반즐러 ;1928;1957;1957;LE;Political Specialist;High;unknownminister;X
240402;Minister of Armament;데이비드 더빈스키 ;1928;1983;1983;SL;Resource Industrialist;Very High;unknownminister;x
240403;Foreign Minister;제이콥 판켄 ;1928;1969;1969;LE;Ideological Crusader;Medium;unknownminister;X
240404;Minister of Security;프레스콧 쉘던 부시 ;1928;1973;1973;PA;Man of the People;Very High;3540;X
240405;Chief of Army;찰스 펠럿 서머롤 ;1926;1932;1932;ML;Guns and Butter Doctrine;High;1673;X
240406;Chief of Staff;찰스 펠럿 서머롤 ;1926;1932;1932;ML;School of Mass Combat;High;1673;X
240407;Chief of Navy;찰스 F. 휴즈 ;1927;1931;1931;ML;Base Control Doctrine;High;1763;X
240408;Chief of Navy;월리엄 V. 프랫 ;1930;1934;1934;ML;Base Control Doctrine;High;9724;X
240409;Chief of Air Force;제임스 페쳇 ;1927;1932;1932;ML;Air Superiority Doctrine;High;unknownminister;X
240410;Chief of Staff;래리 K. 아놀드 ;1924;1964;1964;PA;School of Fire Support;High;unknownminister;X
240411;Chief of Army;조지 S. 패튼 ;1924;1946;1946;PA;Armoured Spearhead Doctrine;High;L60294;X
240413;Head of Government;버튼 K. 휠러 ;1910;1947;1958;SC;political protege;High;3621;X
