SPR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
255251;Chief of Navy;안토니오 루이스 ;1939;1964;1999;SL;Base Control Doctrine;Medium;M11314;X
255252;Chief of Navy;미구엘 부이사 팔라시오스 ;1933;1964;1999;SC;Indirect Approach Doctrine;Medium;M11311;X
255253;Chief of Navy;미구엘 마우라 가마소 ;1938;1964;1999;SC;Decisive Naval Battle Doctrine;Medium;M11073;X
255254;Chief of Navy;프란시스코 데 올라네타 ;1933;1964;1999;PA;Base Control Doctrine;High;M11019;X
255255;Chief of Air Force;이달고 데 시스네로스 ;1933;1964;1999;LWR;Air Superiority Doctrine;High;M11030;X
255256;Chief of Air Force;페드로 페르난데스 체카 ;1938;1964;1999;ST;Army Aviation Doctrine;Medium;M11299;X
255257;Chief of Air Force;비센테 우리베 갈데아노 ;1938;1964;1999;ST;Vertical Envelopment Doctrine;Medium;M11114;X
255258;Chief of Air Force;후안 로페스 산체스 ;1933;1964;1999;LE;Army Aviation Doctrine;Medium;M11119;X
255259;Chief of Air Force;후안 페이로 벨리스 ;1937;1964;1999;LE;Carpet Bombing Doctrine;Medium;M11123;X
255260;Chief of Air Force;벤투라 가솔 로비라 ;1939;1964;1999;LE;Vertical Envelopment Doctrine;Medium;M11326;X
255261;Chief of Air Force;마리아노 바스케스 ;1943;1964;1999;LE;Air Superiority Doctrine;Very High;M11206;X
255262;Chief of Air Force;트리폰 고메스 산 호세 ;1937;1964;1999;LWR;Vertical Envelopment Doctrine;High;M11329;X
255263;Chief of Air Force;인달레시오 프리에토 ;1943;1964;1999;LWR;Army Aviation Doctrine;High;M11331;X
255264;Chief of Air Force;펠리페 디아스 산디노 ;1933;1964;1999;SD;Army Aviation Doctrine;Medium;M11332;X
255265;Chief of Air Force;유이스 콤파니스 ;1937;1964;1999;SD;Naval Aviation Doctrine;Medium;M11310;X
255266;Chief of Air Force;앙헬 카마초 베니테스 ;1938;1964;1999;SD;Air Superiority Doctrine;Medium;M11334;X
255267;Chief of Air Force;훌리오 후스트 히메노 ;1941;1964;1999;SD;Vertical Envelopment Doctrine;Medium;M11335;X
255268;Chief of Air Force;마리아 데 마르티네스 ;1943;1964;1999;SD;Carpet Bombing Doctrine;Medium;M11336;X
255269;Chief of Air Force;알프레도 킨더란 두아니 ;1933;1964;1999;SC;Carpet Bombing Doctrine;High;7768;X
255270;Chief of Air Force;에밀리오 에레라 ;1933;1964;1999;PA;Army Aviation Doctrine;Medium;M11145;X
255271;Chief of Air Force;디에고 이달고 두란 ;1938;1964;1999;PA;Air Superiority Doctrine;High;M11101;X
